# name	source	id
thermohaline-circulation	wikidata	Q463223
pacific-ocean	wikidata	Q98
atlantic-ocean	wikidata	Q97
indian-ocean	wikidata	Q1239
arctic-ocean	wikidata	Q788
southern-ocean	wikidata	Q7354
africa	wikidata	Q15
antarctica	wikidata	Q51
asia	wikidata	Q48
europe	wikidata	Q46
north-america	wikidata	Q49
south-america	wikidata	Q18
australian-continent	wikidata	Q3960
oceania	wikidata	Q538
eurasia	wikidata	Q5401
afro-eurasia	wikidata	Q27527
americas	wikidata	Q828
sahara	wikidata	Q6583
mount-everest	wikidata	Q513
amazon-river	wikidata	Q3783
nile	wikidata	Q3392
himalayas	wikidata	Q5451
andes	wikidata	Q5456
alps	wikidata	Q1286
great-barrier-reef	wikidata	Q7343
mariana-trench	wikidata	Q510
dead-sea	wikidata	Q23883
lake-baikal	wikidata	Q5513
greenland	wikidata	Q223
gobi-desert	wikidata	Q42070
antarctic-ice-sheet	wikidata	Q571430
greenland-ice-sheet	wikidata	Q1542432
gulf-stream	wikidata	Q130905
weather	wikidata	Q11663
climate	wikidata	Q7937
climate-classification	wikidata	Q267474
koppen-climate-classification	wikidata	Q124095
tropical-climate	wikidata	Q135712
arid-climate	wikidata	Q190946
temperate-climate	wikidata	Q167466
continental-climate	wikidata	Q185005
polar-climate	wikidata	Q193372
climatic-zone	wikidata	Q1639168
tropics	wikidata	Q42530
biome	wikidata	Q101998
tundra	wikidata	Q43262
taiga	wikidata	Q69564
tropical-rainforest	wikidata	Q199403
grassland	wikidata	Q1006733
savanna	wikidata	Q42320
steppe	wikidata	Q123991
ecoregion	wikidata	Q295469
atmospheric-science	wikidata	Q25261
climatology	wikidata	Q52139
humidity	wikidata	Q180600
dew-point	wikidata	Q178828
beaufort-scale	wikidata	Q170464
prevailing-wind	wikidata	Q1330018
trade-wind	wikidata	Q160603
westerlies	wikidata	Q12343832
jet-stream	wikidata	Q202325
cyclone	wikidata	Q79602
anticyclone	wikidata	Q177414
tropical-cyclone	wikidata	Q8092
hurricane	wikidata	Q34439356
typhoon	wikidata	Q140588
tornado	wikidata	Q8081
thunderstorm	wikidata	Q2857578
lightning	wikidata	Q33741
thunder	wikidata	Q83301
weather-front	wikidata	Q189796
cold-front	wikidata	Q210316
warm-front	wikidata	Q537536
air-mass	wikidata	Q216823
cloud	wikidata	Q8074
cumulus	wikidata	Q14189
stratus	wikidata	Q40526
cirrus	wikidata	Q185638
cumulonimbus	wikidata	Q182311
nimbostratus	wikidata	Q202278
fog	wikidata	Q37477
mist	wikidata	Q192196
rain	wikidata	Q7925
snow	wikidata	Q7561
hail	wikidata	Q37602
sleet	wikidata	Q852799
drizzle	wikidata	Q211521
freezing-rain	wikidata	Q11120024
dew	wikidata	Q41097
freezing-weather	wikidata	Q1135221
rainbow	wikidata	Q1052
aurora	wikidata	Q40609
la-nina	wikidata	Q642867
weather-forecasting	wikidata	Q182868
weather-station	wikidata	Q190107
barometer	wikidata	Q79757
hygrometer	wikidata	Q183173
anemometer	wikidata	Q175029
rain-gauge	wikidata	Q190052
weather-radar	wikidata	Q863343
weather-satellite	wikidata	Q209363
weather-balloon	wikidata	Q1128180
oceanography	wikidata	Q43518
hydrology	wikidata	Q42250
glaciology	wikidata	Q52120
geomorphology	wikidata	Q52109
seismology	wikidata	Q83371
volcanology	wikidata	Q102904
geophysics	wikidata	Q46255
geochemistry	wikidata	Q161764
pedology	wikidata	Q215501
soil	wikidata	Q36133
soil-horizon	wikidata	Q878214
topsoil	wikidata	Q1247456
humus	wikidata	Q172645
sand	wikidata	Q34679
silt	wikidata	Q270699
loam	wikidata	Q1131303
gravel	wikidata	Q133833
surveying	wikidata	Q816425
theodolite	wikidata	Q181517
total-station	wikidata	Q641296
levelling	wikidata	Q961466
survey-benchmark	wikidata	Q1161707
triangulation	wikidata	Q188056
geodetic-network	wikidata	Q4175911
altimeter	wikidata	Q216197
gyrocompass	wikidata	Q921229
sextant	wikidata	Q179430
marine-chronometer	wikidata	Q193150
astrolabe	wikidata	Q164992
odometer	wikidata	Q745105
pedometer	wikidata	Q648434
sonar	wikidata	Q133220
echo-sounding	wikidata	Q1164536
bathymetry	wikidata	Q810826
radar	wikidata	Q47528
lighthouse	wikidata	Q39715
buoy	wikidata	Q30026
decimal-degrees	wikidata	Q1798227
flood	wikidata	Q8068
utm-coordinate-system	wikidata	Q588975
web-mercator-projection	wikidata	Q18155718
orthographic-projection	wikidata	Q1753242
equal-area-projection	wikidata	Q761699
geohash	wikidata	Q3101207
earth-inner-core	wikidata	Q394352
river-delta	wikidata	Q43197
landslide	wikidata	Q167903
avalanche	wikidata	Q7935
dust-storm	wikidata	Q182878
heat-wave	wikidata	Q215864
cold-wave	wikidata	Q642683
ice-age	wikidata	Q49367
glaciation	wikidata	Q891130
glacial-period	wikidata	Q602963
interglacial	wikidata	Q487294
sea-breeze	wikidata	Q81242
terrain	wikidata	Q186131
topography	wikidata	Q134435
geographical-feature	wikidata	Q618123
hydrography	wikidata	Q182468
limnology	wikidata	Q165838
isobar	wikidata	Q431672
isotherm	wikidata	Q7421486
polar-vortex	wikidata	Q1197111
greenhouse-effect	wikidata	Q41560
insolation	wikidata	Q216973
coriolis-force	wikidata	Q169973
atmospheric-circulation	wikidata	Q2615451
hadley-cell	wikidata	Q338589
upwelling	wikidata	Q215915
storm-surge	wikidata	Q121742
rip-current	wikidata	Q898375
wave-height	wikidata	Q821563
ocean-swell	wikidata	Q185411
seiche	wikidata	Q221076
tidal-bore	wikidata	Q733109
spring-tide	wikidata	Q511571
neap-tide	wikidata	Q1940706
high-tide	wikidata	Q30017
low-tide	wikidata	Q20631630
tide-gauge	wikidata	Q686697
tide-table	wikidata	Q1521177
julian-day	wikidata	Q14267
gregorian-calendar	wikidata	Q12138
leap-year	wikidata	Q19828
leap-second	wikidata	Q194230
international-atomic-time	wikidata	Q119395
gps-time	wikidata	Q1486532
unix-time	wikidata	Q14654
time-standard	wikidata	Q6313217
lunar-calendar	wikidata	Q185688
solar-calendar	wikidata	Q210953
lunisolar-calendar	wikidata	Q194235
gnss-augmentation	wikidata	Q2165162
wide-area-augmentation-system	wikidata	Q568944
satellite-geodesy	wikidata	Q1928951
gravimetry	wikidata	Q499964
gravity-anomaly	wikidata	Q1413914
geopotential	wikidata	Q1423347
orthometric-height	wikidata	Q3495324
height-above-mean-sea-level	wikidata	Q6452016
vertical-datum	wikidata	Q9364781
north-american-datum	wikidata	Q993433
etrs89	wikidata	Q1378197
international-terrestrial-reference-system	wikidata	Q74561
cartogram	wikidata	Q1152543
relief-map	wikidata	Q2940514
bathymetric-chart	wikidata	Q2915844
star-chart	wikidata	Q842617
scale-bar	wikidata	Q1914828
intercardinal-direction	wikidata	Q10351538
waypoint	wikidata	Q138081
travel-route	wikidata	Q1322323
travel-distance	wikidata	Q132646548
earth-radius	wikidata	Q1155470
figure-of-the-earth	wikidata	Q437882
oblate-spheroid	wikidata	Q3241540
national-mapping-agency	wikidata	Q6979629
geographic-data	wikidata	Q350758
geospatial-analysis	wikidata	Q2901148
spatial-database	wikidata	Q2302053
web-map	wikidata	Q6765455
geotagging	wikidata	Q852595
location-based-service	wikidata	Q1198122
turn-by-turn-navigation	wikidata	Q7855620
point-of-interest	wikidata	Q960648
postal-address	wikidata	Q319608
postal-code	wikidata	Q37447
place-name	wikidata	Q7884789
toponymy	wikidata	Q485762
exonym	wikidata	Q81639
endonym	wikidata	Q1266782
geonames	wikidata	Q830106
getty-thesaurus-of-geographic-names	wikidata	Q1520117
ledge	wikidata	-
torrent	wikidata	-
whirlpool	wikidata	-
sandbank	wikidata	-
alp	wikidata	-
bluff	wikidata	-
precipice	wikidata	-
streambed	wikidata	-
lake-bed	wikidata	-
monsoon-season	wikidata	-
monsoon-wind	wikidata	-
cyclonic-storm	wikidata	-
liman	wikidata	-
waterbody-bed	wikidata	-
rock-material	wordnet	14696793
compass-point	wordnet	13830305
ocean-swell	wordnet	-
