# name	source	id
run-length-encoding	wikidata	Q2797
entropy-encoding	wikidata	Q1345239
information-theory	wikidata	Q131222
information-entropy	wikidata	Q204570
shannon-source-coding-theorem	wikidata	Q2411312
channel-capacity	wikidata	Q870845
mutual-information	wikidata	Q252973
kolmogorov-complexity	wikidata	Q1456811
error-detection-and-correction	wikidata	Q1062839
hamming-code	wikidata	Q853922
reed-solomon-code	wikidata	Q1061598
parity-bit	wikidata	Q625502
data-structure	wikidata	Q175263
linked-list	wikidata	Q7003418
dynamic-array	wikidata	Q128555
queue-data-structure	wikidata	Q220543
double-ended-queue	wikidata	Q1192005
priority-queue	wikidata	Q629283
binary-heap	wikidata	Q803847
tree-data-structure	wikidata	Q223655
binary-tree	wikidata	Q380172
binary-search-tree	wikidata	Q623818
self-balancing-binary-search-tree	wikidata	Q245955
avl-tree	wikidata	Q300159
red-black-tree	wikidata	Q506496
b-tree	wikidata	Q677051
trie	wikidata	Q387015
suffix-tree	wikidata	Q1426863
graph-data-structure	wikidata	Q2479726
adjacency-list	wikidata	Q264398
adjacency-matrix	wikidata	Q727035
set-data-structure	wikidata	Q1514741
bloom-filter	wikidata	Q885373
skip-list	wikidata	Q2005893
persistent-data-structure	wikidata	Q2427787
merkle-tree	wikidata	Q14746
hash-chain	wikidata	Q5678864
directed-acyclic-graph	wikidata	Q1195339
database	wikidata	Q8513
relational-database	wikidata	Q192588
relational-model	wikidata	Q755662
nosql	wikidata	Q82231
graph-database	wikidata	Q595971
column-oriented-dbms	wikidata	Q425567
embedded-database	wikidata	Q1307492
postgresql	wikidata	Q192490
database-management-system	wikidata	Q176165
database-schema	wikidata	Q632285
database-table	wikidata	Q278425
primary-key	wikidata	Q934729
foreign-key	wikidata	Q1056760
database-index	wikidata	Q580427
query-optimization	wikidata	Q2919848
query-plan	wikidata	Q784232
database-transaction	wikidata	Q848010
acid-transaction-properties	wikidata	Q288435
transaction-atomicity	wikidata	Q3306359
database-consistency	wikidata	Q5163219
transaction-isolation	wikidata	Q1674485
transaction-durability	wikidata	Q5316114
write-ahead-logging	wikidata	Q627688
database-normalization	wikidata	Q339072
denormalization	wikidata	Q1189732
relational-join	wikidata	Q134882134
database-view	wikidata	Q1329910
stored-procedure	wikidata	Q846619
database-trigger	wikidata	Q835769
object-relational-mapping	wikidata	Q1694402
database-shard	wikidata	Q13424607
cap-theorem	wikidata	Q856032
eventual-consistency	wikidata	Q6125872
distributed-consensus	wikidata	Q2994424
paxos	wikidata	Q987969
raft-consensus-algorithm	wikidata	Q17100313
byzantine-fault	wikidata	Q1353446
state-machine-replication	wikidata	Q7603710
leader-election	wikidata	Q1424189
vector-clock	wikidata	Q1413349
logical-clock	wikidata	Q1414322
distributed-hash-table	wikidata	Q863506
kademlia	wikidata	Q961691
chord-protocol	wikidata	Q1076368
bittorrent	wikidata	Q133862
ipfs	wikidata	Q21422344
gnutella	wikidata	Q49667
conflict-free-replicated-data-type	wikidata	Q20031945
event-sourcing	wikidata	Q17349088
temporal-database	wikidata	Q1969246
log-structured-merge-tree	wikidata	Q6666764
write-once-read-many	wikidata	Q1778670
datomic	wikidata	Q5227695
message-queue	wikidata	Q1065525
publish-subscribe-pattern	wikidata	Q1071360
message-broker	wikidata	Q6821765
apache-kafka	wikidata	Q16235208
stream-processing	wikidata	Q2006448
batch-processing	wikidata	Q661613
extract-transform-load	wikidata	Q1276130
data-pipeline	wikidata	Q1192422
data-warehouse	wikidata	Q193351
data-lake	wikidata	Q20707560
data-mining	wikidata	Q172491
big-data	wikidata	Q858810
apache-hadoop	wikidata	Q29120
apache-spark	wikidata	Q7573619
load-balancing	wikidata	Q575614
reverse-proxy	wikidata	Q1192309
content-delivery-network	wikidata	Q72588
web-cache	wikidata	Q991293
fault-tolerance	wikidata	Q2524240
high-availability	wikidata	Q1622420
information-redundancy	wikidata	Q122192
failover	wikidata	Q998767
data-replication	wikidata	Q1156791
data-backup	wikidata	Q194274
disaster-recovery	wikidata	Q1140205
scalability	wikidata	Q727490
latency	wikidata	Q578372
throughput	wikidata	Q1383412
network-bandwidth	wikidata	Q1576430
computer	wikidata	Q68
network-topology	wikidata	Q145490
osi-model	wikidata	Q93312
internet-protocol-suite	wikidata	Q81414
physical-layer	wikidata	Q192727
network-layer	wikidata	Q208074
transport-layer	wikidata	Q209372
application-layer	wikidata	Q189768
ethernet	wikidata	Q79984
wi-fi	wikidata	Q29643
bluetooth	wikidata	Q39531
ip-address	wikidata	Q11135
ipv4	wikidata	Q11103
ipv6	wikidata	Q2551624
subnetwork	wikidata	Q11414
internet-protocol	wikidata	Q8795
transmission-control-protocol	wikidata	Q8803
user-datagram-protocol	wikidata	Q11163
quic	wikidata	Q7265601
network-port	wikidata	Q858321
network-socket	wikidata	Q632343
network-packet	wikidata	Q214111
datagram	wikidata	Q726868
network-routing	wikidata	Q22725
network-router	wikidata	Q5318
network-switch	wikidata	Q4503
network-gateway	wikidata	Q487365
network-firewall	wikidata	Q80998
network-address-translation	wikidata	Q11182
virtual-private-network	wikidata	Q170963
proxy-server	wikidata	Q11189
domain-name-system	wikidata	Q8767
domain-name	wikidata	Q32635
dhcp	wikidata	Q11166
border-gateway-protocol	wikidata	Q11155
autonomous-system	wikidata	Q749245
internet-service-provider	wikidata	Q11371
internet-exchange-point	wikidata	Q1433061
internet	wikidata	Q75
world-wide-web	wikidata	Q466
web-page	wikidata	Q36774
web-site	wikidata	Q35127
web-browser	wikidata	Q6368
web-server	wikidata	Q11288
hypertext-transfer-protocol	wikidata	Q8777
https	wikidata	Q44484
http-2	wikidata	Q739120
http-3	wikidata	Q58797190
transport-layer-security	wikidata	Q206494
digital-certificate	wikidata	Q274758
certificate-authority	wikidata	Q196776
url	wikidata	Q42253
uniform-resource-identifier	wikidata	Q61694
uniform-resource-name	wikidata	Q76497
html	wikidata	Q8811
cascading-style-sheets	wikidata	Q46441
javascript	wikidata	Q2005
document-object-model	wikidata	Q2093
web-application	wikidata	Q189210
single-page-application	wikidata	Q1990286
progressive-web-app	wikidata	Q23679990
web-api	wikidata	Q557770
xml	wikidata	Q2115
yaml	wikidata	Q281876
toml	wikidata	Q28449455
csv	wikidata	Q935809
markdown	wikidata	Q1193600
restructuredtext	wikidata	Q287315
latex	wikidata	Q5310
tex	wikidata	Q5301
pdf	wikidata	Q42332
office-open-xml	wikidata	Q279979
opendocument	wikidata	Q184473
rich-text-format	wikidata	Q467454
plain-text	wikidata	Q1145976
unicode	wikidata	Q8819
utf-8	wikidata	Q193537
character-encoding	wikidata	Q184759
serialization	wikidata	Q1127410
protocol-buffers	wikidata	Q1645574
cbor	wikidata	Q28455556
apache-parquet	wikidata	Q28915683
apache-avro	wikidata	Q616580
hdf5	wikidata	Q61080677
zip-file-format	wikidata	Q136218
gzip-file-format	wikidata	Q162839
bzip2	wikidata	Q283563
tar-file-format	wikidata	Q283579
7z	wikidata	Q270131
rar	wikidata	Q243303
iso-image	wikidata	Q877050
disk-image	wikidata	Q592312
executable-file	wikidata	Q778586
executable-and-linkable-format	wikidata	Q1343830
portable-executable	wikidata	Q1076355
webassembly	wikidata	Q20155677
java-bytecode	wikidata	Q137496
shared-library	wikidata	Q8095398
dynamic-link-library	wikidata	Q380319
file-format	wikidata	Q235557
raster-graphics	wikidata	Q182270
vector-graphics	wikidata	Q170130
jpeg	wikidata	Q2195
png	wikidata	Q178051
gif	wikidata	Q2192
webp	wikidata	Q62617958
tiff	wikidata	Q215106
bmp-file-format	wikidata	Q192869
svg	wikidata	Q2078
avif	wikidata	Q59913607
advanced-audio-coding	wikidata	Q337594
flac	wikidata	Q131481410
wav	wikidata	Q217570
ogg	wikidata	Q188199
opus-codec	wikidata	Q1466199
mp4	wikidata	Q336316
matroska	wikidata	Q223535
webm	wikidata	Q309440
avi	wikidata	Q209054
quicktime-file-format	wikidata	Q942350
advanced-video-coding	wikidata	Q212633
high-efficiency-video-coding	wikidata	Q43664
vp9	wikidata	Q3815169
codec	wikidata	Q184748
multimedia-container-format	wikidata	Q167772
metadata	wikidata	Q180160
exif	wikidata	Q196465
icalendar	wikidata	Q284651
vcard	wikidata	Q305941
geojson	wikidata	Q5533904
keyhole-markup-language	wikidata	Q79587
gps-exchange-format	wikidata	Q576465
email	wikidata	Q9158
simple-mail-transfer-protocol	wikidata	Q160453
internet-message-access-protocol	wikidata	Q166936
post-office-protocol	wikidata	Q1268005
mime	wikidata	Q192902
eml-file-format	wikidata	Q11198294
file-transfer-protocol	wikidata	Q42283
secure-shell	wikidata	Q170460
ssh-file-transfer-protocol	wikidata	Q1126823
rsync	wikidata	Q283774
network-time-protocol	wikidata	Q217491
mqtt	wikidata	Q10322548
amqp	wikidata	Q379626
webrtc	wikidata	Q1089715
activitypub	wikidata	Q40463886
rss	wikidata	Q45432
oauth	wikidata	Q743238
openid-connect	wikidata	Q18385539
saml	wikidata	Q1758048
json-web-token	wikidata	Q22284678
kerberos-protocol	wikidata	Q506053
ldap	wikidata	Q188816
authentication	wikidata	Q212108
authorization	wikidata	Q788590
access-control	wikidata	Q228502
access-control-list	wikidata	Q338966
role-based-access-control	wikidata	Q1702839
capability-based-security	wikidata	Q1094291
principle-of-least-privilege	wikidata	Q1083272
password	wikidata	Q161157
passphrase	wikidata	Q3381663
multi-factor-authentication	wikidata	Q7878662
single-sign-on	wikidata	Q568494
encryption	wikidata	Q141090
end-to-end-encryption	wikidata	Q1340257
public-key-cryptography	wikidata	Q201339
symmetric-key-cryptography	wikidata	Q327675
