sub	sup	issue
strip		unplaced: best single witness: bottom (sumo)
structure		unplaced: best single witness: object (wordnet)
subject		unplaced: best single witness: goal (sumo)
suburb		unplaced: best single witness: location (wordnet)
sugar		unplaced: best single witness: food (wordnet)
suggestion		unplaced: best single witness: idea (wordnet)
suit		unplaced: best single witness: clothing (wordnet)
sum		unplaced: best single witness: relation (wordnet)
summary		unplaced: best single witness: statement (wordnet)
summit		unplaced: best single witness: ability (sumo)
sun		unplaced: best single witness: celestial-body (opencyc)
sunrise		unplaced: best single witness: knowledge (wordnet)
superintendent		unplaced: best single witness: individual (wordnet)
supply		unplaced: best single witness: quantity (wordnet)
surface		unplaced: best single witness: object (wordnet)
surprise		unplaced: best single witness: feeling (wordnet)
survival		unplaced: no witness places it
survivor		unplaced: best single witness: organism (wordnet)
suspect		unplaced: best single witness: organism (wordnet)
suspicion		unplaced: best single witness: notion (wordnet)
sweet		unplaced: best single witness: food (wordnet)
swing		unplaced: best single witness: ability (sumo)
symbol		unplaced: best single witness: bottom (sumo)
symmetry		unplaced: best single witness: structure (sumo)
symptom		unplaced: best single witness: grounds (wordnet)
syndrome		unplaced: best single witness: idea (wordnet)
system		unplaced: best single witness: object (wordnet)
table		unplaced: best single witness: group (wordnet)
tablet		unplaced: best single witness: object (wordnet)
tail		unplaced: best single witness: bottom (sumo)
taxi		unplaced: best single witness: vehicle (wordnet)
taxpayer		unplaced: best single witness: organism (wordnet)
teacher		unplaced: best single witness: adult (wordnet)
technology		unplaced: best single witness: application (wordnet)
television		unplaced: best single witness: object (wordnet)
temptation		unplaced: best single witness: knowledge (wordnet)
tenant		unplaced: best single witness: organism (wordnet)
tennis		unplaced: best single witness: recreation (wordnet)
terminal		unplaced: best single witness: station (wordnet)
test		unplaced: best single witness: knowledge (wordnet)
text		unplaced: best single witness: structure (sumo)
text	title	disputed: ['sumo'] vs ['wordnet']
text-message		unplaced: best single witness: message (claude)
texture		unplaced: best single witness: ability (sumo)
thanks		unplaced: best single witness: revival (sumo)
theory		unplaced: best single witness: knowledge (wordnet)
therapist		unplaced: best single witness: organism (wordnet)
thesis		unplaced: best single witness: statement (wordnet)
thinker		unplaced: best single witness: organism (wordnet)
threat		unplaced: best single witness: ability (sumo)
threshold		unplaced: best single witness: quantity (wordnet)
throat		unplaced: best single witness: ribbon (sumo)
tide		unplaced: best single witness: natural-event (wordnet)
tile		unplaced: best single witness: object (wordnet)
timetable		unplaced: best single witness: list (wordnet)
tip		unplaced: best single witness: location (wordnet)
title		unplaced: best single witness: text (wordnet)
toll		unplaced: best single witness: relation (wordnet)
tomato		unplaced: best single witness: vegetable (wordnet)
ton		unplaced: best single witness: quantity (wordnet)
tone		unplaced: best single witness: ability (sumo)
tongue		unplaced: best single witness: organ (wordnet)
top		unplaced: best single witness: location (wordnet)
torture		unplaced: best single witness: feeling (wordnet)
trace		unplaced: best single witness: quantity (wordnet)
tradition		unplaced: best single witness: knowledge (wordnet)
tragedy		unplaced: best single witness: natural-event (wordnet)
trait		unplaced: best single witness: ability (sumo)
trait	willpower	disputed: ['sumo'] vs ['wordnet']
transport-ticket		unplaced: best single witness: ticket (claude)
treasure		unplaced: best single witness: relation (wordnet)
treat		unplaced: best single witness: food (wordnet)
trend		unplaced: best single witness: location (wordnet)
triangle		unplaced: best single witness: surface (opencyc)
tribe		unplaced: best single witness: group (wordnet)
tribute		unplaced: best single witness: bottom (sumo)
troop		unplaced: best single witness: group (wordnet)
trouble		unplaced: best single witness: knowledge (wordnet)
trust		unplaced: best single witness: relation (wordnet)
trustee		unplaced: best single witness: organism (wordnet)
truth		unplaced: best single witness: fact (wordnet)
tumour		unplaced: best single witness: condition (wordnet)
tune		unplaced: best single witness: music (wordnet)
turn		unplaced: best single witness: curve (wordnet)
twist		unplaced: best single witness: change (wordnet)
uncertainty		unplaced: best single witness: quality (wordnet)
uncle		unplaced: best single witness: organism (wordnet)
understanding		unplaced: best single witness: knowledge (wordnet)
unemployment		unplaced: best single witness: situation (opencyc)
unit		unplaced: best single witness: quantity (wordnet)
unrest		unplaced: best single witness: ability (sumo)
user		unplaced: best single witness: organism (wordnet)
vacuum		unplaced: best single witness: condition (wordnet)
valley		unplaced: best single witness: object (wordnet)
value		unplaced: best single witness: idea (wordnet)
van		unplaced: best single witness: group (wordnet)
variable		unplaced: best single witness: goal (sumo)
variation		unplaced: best single witness: change (wordnet)
variety		unplaced: best single witness: group (wordnet)
vector		unplaced: best single witness: idea (wordnet)
vegetable		unplaced: best single witness: produce (wordnet)
vegetarian		unplaced: best single witness: user (wordnet)
vegetation		unplaced: best single witness: group (wordnet)
venue		unplaced: best single witness: location (wordnet)
version		unplaced: best single witness: statement (wordnet)
vessel		unplaced: best single witness: bottom (sumo)
victory		unplaced: best single witness: natural-event (wordnet)
video		unplaced: best single witness: bottom (sumo)
view		unplaced: best single witness: attitude (wordnet)
violation		unplaced: best single witness: activity (wordnet)
vision		unplaced: best single witness: knowledge (wordnet)
vitamin		unplaced: best single witness: food (wordnet)
voice-message		unplaced: best single witness: audio (claude)
volume		unplaced: best single witness: quantity (wordnet)
voucher		unplaced: best single witness: advocate (wordnet)
wage		unplaced: best single witness: relation (wordnet)
ward		unplaced: best single witness: organism (wordnet)
warrant		unplaced: best single witness: legal-document (wordnet)
weakness		unplaced: best single witness: ability (sumo)
web-page		unplaced: best single witness: file (wordnet)
weight		unplaced: best single witness: rest (sumo)
welcome		unplaced: best single witness: situation (wordnet)
west		unplaced: best single witness: relation (wordnet)
wheat		unplaced: best single witness: cereal (wordnet)
white		unplaced: no witness places it
width		unplaced: best single witness: magnitude (wordnet)
wife		unplaced: best single witness: adult (wordnet)
wilderness		unplaced: best single witness: situation (wordnet)
will		unplaced: best single witness: module (wordnet)
willpower		unplaced: best single witness: trait (wordnet)
win		unplaced: best single witness: natural-event (wordnet)
wing		unplaced: best single witness: organ (wordnet)
winner		unplaced: best single witness: organism (wordnet)
witness		unplaced: best single witness: individual (wordnet)
wonder		unplaced: best single witness: feeling (wordnet)
wording		unplaced: best single witness: revival (sumo)
world		unplaced: best single witness: object (wordnet)
yard		unplaced: best single witness: quantity (wordnet)
zero		unplaced: best single witness: quantity (wordnet)
