sub	sup	issue
bulletin		unplaced: best single witness: information (wordnet)
bulletin	information	disputed: ['wordnet'] vs ['sumo']
bundle		unplaced: best single witness: group (wordnet)
bundle	group	disputed: ['wordnet'] vs ['sumo']
bureaucracy		unplaced: best single witness: group (wordnet)
bus		unplaced: best single witness: transport (wordnet)
bush		unplaced: best single witness: organism (wordnet)
business	partnership	disputed: ['sumo'] vs ['wordnet']
cable		unplaced: best single witness: message (wordnet)
cafe		unplaced: best single witness: structure (wordnet)
calendar		unplaced: best single witness: knowledge (wordnet)
calorie		unplaced: best single witness: quantity (wordnet)
camp	housing	disputed: ['wordnet'] vs ['sumo']
cancer		unplaced: best single witness: condition (wordnet)
candidate		unplaced: best single witness: organism (wordnet)
capital		unplaced: best single witness: relation (wordnet)
capitalism		unplaced: best single witness: economy (wordnet)
captain		unplaced: best single witness: officer (wordnet)
card	postcard	disputed: ['sumo'] vs ['opencyc']
career		unplaced: best single witness: activity (wordnet)
carrier		unplaced: best single witness: organism (wordnet)
cart		unplaced: best single witness: wagon (wordnet)
case		unplaced: best single witness: natural-event (wordnet)
case	event	disputed: ['wordnet'] vs ['sumo']
case	formula	disputed: ['opencyc'] vs ['sumo']
case	information	disputed: ['opencyc'] vs ['sumo']
case	natural-event	disputed: ['wordnet'] vs ['sumo']
cassette		unplaced: best single witness: object (wordnet)
catalogue		unplaced: best single witness: list (wordnet)
catalogue	information	disputed: ['wordnet'] vs ['sumo']
category		unplaced: best single witness: group (wordnet)
cause		unplaced: best single witness: natural-event (wordnet)
cave		unplaced: best single witness: object (wordnet)
cell		unplaced: best single witness: location (wordnet)
cell	compartment	disputed: ['wordnet'] vs ['sumo']
cell	location	disputed: ['wordnet'] vs ['sumo']
cell	object	disputed: ['wordnet'] vs ['sumo']
center		unplaced: best single witness: location (wordnet)
century		unplaced: best single witness: period (wordnet)
cereal		unplaced: best single witness: organism (wordnet)
chain		unplaced: best single witness: group (wordnet)
chain	group	disputed: ['wordnet'] vs ['sumo']
chance		unplaced: best single witness: ability (sumo)
chaos		unplaced: best single witness: confusion (wordnet)
character		unplaced: best single witness: imagination (wordnet)
characteristic		unplaced: best single witness: idea (wordnet)
characteristic	knowledge	disputed: ['wordnet'] vs ['sumo']
chat-message		unplaced: best single witness: message (claude)
chauvinist		unplaced: best single witness: advocate (wordnet)
check		unplaced: best single witness: document (wordnet)
chemical	fraction	disputed: ['sumo'] vs ['wordnet']
cherry	wood	disputed: ['wordnet'] vs ['sumo']
chest		unplaced: best single witness: bottom (sumo)
chip		unplaced: best single witness: fragment (wordnet)
choice		unplaced: best single witness: knowledge (wordnet)
chord		unplaced: best single witness: regard (sumo)
church		unplaced: best single witness: group (wordnet)
circle		unplaced: no witness places it
circumstance		unplaced: best single witness: condition (wordnet)
civilization		unplaced: best single witness: group (wordnet)
claim		unplaced: best single witness: declaration (wordnet)
clearance		unplaced: best single witness: relation (wordnet)
clerk		unplaced: best single witness: individual (wordnet)
climate		unplaced: best single witness: condition (wordnet)
clue		unplaced: best single witness: indication (wordnet)
cluster		unplaced: best single witness: group (wordnet)
cluster	group	disputed: ['wordnet'] vs ['sumo']
coach		unplaced: best single witness: individual (wordnet)
coal		unplaced: best single witness: fuel (wordnet)
coast		unplaced: best single witness: object (wordnet)
code		unplaced: best single witness: affair (schemaorg)
coffee		unplaced: best single witness: liquid (wordnet)
coincidence		unplaced: best single witness: natural-event (wordnet)
colleague		unplaced: best single witness: organism (wordnet)
collection		unplaced: best single witness: group (wordnet)
collection	group	disputed: ['wordnet'] vs ['sumo']
colon	organ	disputed: ['wordnet'] vs ['sumo']
column		unplaced: best single witness: group (wordnet)
coma		unplaced: best single witness: condition (wordnet)
combination		unplaced: best single witness: group (wordnet)
comedy		unplaced: best single witness: structure (sumo)
comment		unplaced: best single witness: statement (wordnet)
commerce	trade	disputed: ['sumo'] vs ['wordnet']
commitment		unplaced: best single witness: trait (wordnet)
communist		unplaced: best single witness: organism (wordnet)
compact		unplaced: best single witness: object (wordnet)
compact	container	disputed: ['wordnet'] vs ['sumo']
compensation		unplaced: best single witness: relation (wordnet)
compliance	situation	disputed: ['opencyc'] vs ['sumo']
complication		unplaced: best single witness: event (wordnet)
compound		unplaced: best single witness: idea (wordnet)
concentration		unplaced: no witness places it
concept	element	disputed: ['sumo'] vs ['wordnet']
concept	right	disputed: ['sumo'] vs ['wordnet']
concern		unplaced: best single witness: condition (wordnet)
conclusion		unplaced: best single witness: opinion (wordnet)
condition		unplaced: best single witness: goal (sumo)
conductor		unplaced: best single witness: organism (wordnet)
conference	seminar	disputed: ['sumo'] vs ['wordnet']
confusion		unplaced: best single witness: ability (sumo)
congress	meeting	disputed: ['wordnet'] vs ['sumo']
connection		unplaced: best single witness: relation (wordnet)
connection	link	disputed: ['sumo'] vs ['wordnet']
connection	relation	disputed: ['wordnet'] vs ['sumo']
conservation		unplaced: best single witness: change (wordnet)
consideration		unplaced: best single witness: knowledge (wordnet)
conspiracy		unplaced: best single witness: statement (wordnet)
constituency		unplaced: best single witness: group (wordnet)
constitution		unplaced: best single witness: legal-document (wordnet)
constraint		unplaced: best single witness: ability (sumo)
consultation		unplaced: best single witness: revival (sumo)
consumption		unplaced: best single witness: revival (sumo)
container	jar	disputed: ['sumo'] vs ['opencyc', 'wordnet']
container	kit	disputed: ['sumo'] vs ['wordnet']
contemporary		unplaced: best single witness: organism (wordnet)
contempt		unplaced: best single witness: feeling (wordnet)
content		unplaced: best single witness: group (wordnet)
content	group	disputed: ['wordnet'] vs ['sumo']
context	information	disputed: ['opencyc'] vs ['sumo']
contradiction		unplaced: best single witness: relation (wordnet)
contradiction	relation	disputed: ['wordnet'] vs ['sumo']
contrary		unplaced: best single witness: relation (wordnet)
contrast		unplaced: best single witness: relation (wordnet)
contrast	relation	disputed: ['wordnet'] vs ['sumo']
contribution		unplaced: best single witness: effort (wordnet)
contribution	effort	disputed: ['wordnet'] vs ['sumo']
contribution	event	disputed: ['wordnet'] vs ['sumo']
control		unplaced: best single witness: quality (wordnet)
conversation	dialogue	disputed: ['opencyc'] vs ['wordnet']
conversation	jazz	disputed: ['sumo'] vs ['wordnet']
conviction		unplaced: best single witness: belief (wordnet)
corn	grass	disputed: ['wordnet'] vs ['sumo']
corn	herb	disputed: ['wordnet'] vs ['sumo']
corner		unplaced: best single witness: location (wordnet)
correction		unplaced: best single witness: action (wordnet)
correlation		unplaced: best single witness: relation (wordnet)
correlation	relation	disputed: ['wordnet'] vs ['sumo']
correspondence		unplaced: best single witness: message (wordnet)
countryside		unplaced: best single witness: location (wordnet)
courage		unplaced: best single witness: trait (wordnet)
cousin		unplaced: best single witness: organism (wordnet)
coverage		unplaced: best single witness: relation (wordnet)
crack		unplaced: best single witness: location (wordnet)
cream		unplaced: best single witness: group (wordnet)
cream	elite	disputed: ['wordnet'] vs ['sumo']
cream	group	disputed: ['wordnet'] vs ['sumo']
cream	people	disputed: ['wordnet'] vs ['sumo']
credibility		unplaced: best single witness: quality (wordnet)
credit		unplaced: best single witness: revival (sumo)
credit	memorial	disputed: ['sumo'] vs ['wordnet']
credit-card		unplaced: best single witness: relation (wordnet)
creed		unplaced: best single witness: belief (wordnet)
crew		unplaced: best single witness: group (wordnet)
crime		unplaced: best single witness: activity (wordnet)
criminal		unplaced: best single witness: organism (wordnet)
criticism		unplaced: best single witness: revival (sumo)
crop		unplaced: best single witness: commerce (wordnet)
crowd		unplaced: best single witness: group (wordnet)
crystal		unplaced: best single witness: chemical (yago)
culture		unplaced: best single witness: group (wordnet)
curriculum		unplaced: best single witness: information (wordnet)
curve		unplaced: best single witness: ability (sumo)
curve	turn	disputed: ['sumo'] vs ['wordnet']
cushion		unplaced: best single witness: object (wordnet)
custody		unplaced: best single witness: ability (sumo)
cut		unplaced: best single witness: relation (wordnet)
cut	relation	disputed: ['wordnet'] vs ['sumo']
cut	site	disputed: ['opencyc'] vs ['sumo']
cylinder		unplaced: no witness places it
dairy	farm	disputed: ['wordnet'] vs ['sumo']
damage		unplaced: best single witness: change (wordnet)
dark		unplaced: no witness places it
dataset		unplaced: best single witness: affair (schemaorg)
daughter		unplaced: best single witness: organism (wordnet)
debate		unplaced: best single witness: revival (sumo)
debt		unplaced: no witness places it
decay		unplaced: best single witness: ability (sumo)
declaration		unplaced: best single witness: statement (wordnet)
default		unplaced: best single witness: failure (wordnet)
defendant		unplaced: best single witness: organism (wordnet)
