# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
32192	envelopes, letter cards, plain postcards and correspondence cards of paper or pa	writing compendiums
32194	wallpaper and similar wall coverings; window transparencies of paper	window transparencies
32195	textile wall coverings	textile wall coverings
32196	sanitary towels (pads) and tampons, napkins and napkin liners for babies and sim	napkin liners
32198	filter blocks, slabs and plates, of paper pulp	filter blocks
32199	other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to 	cellulose wadding
32210	educational textbooks, in print	educational textbooks
32220	general reference books, in print	general reference books
32291	professional, technical and scholarly books, in print	scholarly books
32292	children's books, in print	children's books
32410	general interest newspapers and periodicals, other than daily, in print	general interest newspapers
32420	business, professional or academic newspapers and periodicals, other than daily,	academic newspapers
32511	maps and hydrographic or similar charts (including wall maps, topographical plan	hydrographic
32530	printed or illustrated postcards; printed cards bearing personal greetings or me	illustrated postcards
32530	printed or illustrated postcards; printed cards bearing personal greetings or me	printed cards bearing personal greetings
32540	printed pictures, designs and photographs	printed pictures
32550	plans and drawings for architectural, engineering, industrial, commercial, topog	photographic reproductions
32610	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	unused postage
32610	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	stamp-impressed paper
32610	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	cheque forms
32620	trade advertising material, commercial catalogues and the like	commercial catalogues
32630	transfers (decalcomanias) and printed calendars	printed calendars
32700	registers, account books, notebooks, letter pads, diaries and similar articles, 	letter pads
32700	registers, account books, notebooks, letter pads, diaries and similar articles, 	blotting-pads
32700	registers, account books, notebooks, letter pads, diaries and similar articles, 	file covers
33100	coke and semi-coke of coal, of lignite or of peat; retort carbon	semi-coke
33100	coke and semi-coke of coal, of lignite or of peat; retort carbon	retort carbon
33200	tar distilled from coal, from lignite or from peat, and other mineral tars	tar distilled
33311	motor gasoline	motor gasoline
33312	aviation gasoline	aviation gasoline
33320	gasolene-type jet fuel	gasolene-type jet fuel
33342	kerosene-type jet fuel	kerosene-type jet fuel
33350	white spirit and special boiling point industrial spirits	white spirit
33350	white spirit and special boiling point industrial spirits	special boiling point industrial spirits
33429	other petroleum gases or gaseous hydrocarbons, except natural gas	gaseous hydrocarbons
33500	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	micro- crystalline petroleum wax
33500	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	slack wax
33500	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	lignite wax
33500	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	peat wax
33500	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	petroleum coke
33500	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	petroleum bitumen
33610	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	natural uranium
33610	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	its compounds
33610	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	ceramic products
33620	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	uranium enriched
33620	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	its compounds
33620	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	ceramic products
33630	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	uranium depleted
33630	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	its compounds
33630	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	ceramic products
33690	other radioactive elements and isotopes and compounds; alloys, dispersions, cera	ceramic products
33690	other radioactive elements and isotopes and compounds; alloys, dispersions, cera	radioactive residues
33710	fuel elements (cartridges), non-irradiated, for nuclear reactors	fuel elements
33710	fuel elements (cartridges), non-irradiated, for nuclear reactors	non-irradiated
33720	spent (irradiated) fuel elements (cartridges) of nuclear reactors	spent fuel elements
34110	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	their halogenated
34110	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	sulphonated
34110	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	nitrated
34110	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	nitrosated derivatives
34120	industrial monocarboxylic fatty acids; acid oils from refining	industrial monocarboxylic fatty acids
34120	industrial monocarboxylic fatty acids; acid oils from refining	acid oils
34139	other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, ni	phenol-alcohols
34139	other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, ni	industrial fatty alcohols
34140	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	their anhydrides
34140	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	peroxyacids
34140	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	their halogenated
34140	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	sulphonated
34140	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	nitrated
34140	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	nitrosated derivatives
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	amine-function compounds
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	oxygen-function amino-compounds
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	ureines
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	their derivatives
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	carboxyimide-function compounds
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	imine-compounds
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	nitrile-function compounds
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	diazo
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	azo
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	azoxy-compounds
34150	amine-function compounds; oxygen-function amino-compounds, except lysine and its	organic derivatives
34160	organo-sulphur compounds and other organo-inorganic compounds; heterocyclic comp	organo-sulphur compounds
34160	organo-sulphur compounds and other organo-inorganic compounds; heterocyclic comp	their salts
34170	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	alcohol peroxides
34170	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	ether peroxides
34170	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	epoxides
34170	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	aldehyde-function compounds
34170	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	ketone-function compounds
34170	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	quinone-function compounds
34180	phosphoric esters and their salts or esters of other inorganic acids (excluding 	phosphoric esters
34180	phosphoric esters and their salts or esters of other inorganic acids (excluding 	their salts
34180	phosphoric esters and their salts or esters of other inorganic acids (excluding 	and their halogenated
34180	phosphoric esters and their salts or esters of other inorganic acids (excluding 	sulphonated
34180	phosphoric esters and their salts or esters of other inorganic acids (excluding 	nitrated
34180	phosphoric esters and their salts or esters of other inorganic acids (excluding 	nitrosated derivatives
34210	hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen comp	rare gases
34210	hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen comp	inorganic oxygen compounds
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	zinc peroxide
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	chromium oxides
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	manganese oxides
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	iron oxides
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	earth colours
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	cobalt oxides
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	lead oxides
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	orange lead
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	inorganic bases
34220	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	metal oxides
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	inorganic acids
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	inorganic oxygen compounds
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	sulphur compounds
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	hydrozine
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	hydroxylamine
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	their inorganic salts
34233	nitric acid, sulphonitric acids	sulphonitric acids
34240	phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n	peroxysalts
34250	salts of oxometallic or peroxometallic acids; colloidal precious metals and comp	colloidal precious metals
34250	salts of oxometallic or peroxometallic acids; colloidal precious metals and comp	inorganic
34270	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	cyanide oxides
34270	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	complex cyanides
34270	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	cyanates
34270	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	perborates
34280	hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides a	phosphides
34280	hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides a	borides
34310	synthetic organic colouring matter and preparations based thereon; synthetic org	preparations based thereon
34310	synthetic organic colouring matter and preparations based thereon; synthetic org	synthetic organic products
34310	synthetic organic colouring matter and preparations based thereon; synthetic org	colour lakes
34320	tanning extracts of vegetable origin; tannins and their salts, ethers, esters an	tanning extracts
34320	tanning extracts of vegetable origin; tannins and their salts, ethers, esters an	their salts
34320	tanning extracts of vegetable origin; tannins and their salts, ethers, esters an	preparations based
34330	synthetic organic tanning substances; inorganic tanning substances; tanning prep	synthetic organic tanning substances
34330	synthetic organic tanning substances; inorganic tanning substances; tanning prep	inorganic tanning substances
34330	synthetic organic tanning substances; inorganic tanning substances; tanning prep	tanning preparations
34330	synthetic organic tanning substances; inorganic tanning substances; tanning prep	enzymatic preparations
34340	colouring matter n.e.c.; inorganic products of a kind used as luminophores	inorganic products
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	activated natural mineral products
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	terpenic oils produced
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	crude dipentene
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	crude para-cymene
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	pine oil
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	resin acids
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	rosin spirit
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	rosin oils
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	rum gums
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood tar oils
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood creosote
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood naphtha
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	vegetable pitch
34400	activated natural mineral products; animal black; tall oil; terpenic oils produc	brewers' pitch
34510	wood charcoal	wood charcoal
34530	roasted iron pyrites	roasted iron pyrites
34540	oils and other products of the distillation of high temperature coal tar, and si	pitch coke
34550	animal or vegetable fats and oils and their fractions, chemically modified, exce	vegetable fats
34550	animal or vegetable fats and oils and their fractions, chemically modified, exce	their fractions
34550	animal or vegetable fats and oils and their fractions, chemically modified, exce	chemically modified
34550	animal or vegetable fats and oils and their fractions, chemically modified, exce	inedible mixtures
34560	synthetic or reconstructed precious or semi-precious stones, unworked	reconstructed precious
34560	synthetic or reconstructed precious or semi-precious stones, unworked	semi-precious stones
34612	ammonium sulphate	ammonium sulphate
34621	superphosphate	superphosphate
34632	potassium sulphate (sulphate of potash)	potassium sulphate
34642	diammonium hydrogenorthophosphate (diammonium phosphate)	diammonium hydrogenorthophosphate
34643	monoammonium phosphate	monoammonium phosphate
34649	other mineral or chemical fertilizers containing at least two nutrients (nitroge	chemical fertilizers
34651	ammonia, anhydrous	anhydrous
34663	herbicides, anti-sprouting products and plant-growth regulators	anti-sprouting products
34663	herbicides, anti-sprouting products and plant-growth regulators	plant-growth regulators
34666	hazardous pesticides	hazardous pesticides
34740	polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonat	polyacetals
34740	polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonat	epoxide resins
34740	polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonat	polycarbonates
34740	polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonat	polyallyl esters
34790	other plastics in primary forms; ion exchangers	ion exchangers
34800	synthetic rubber and factice derived from oils, and mixtures thereof with natura	factice
35110	paints and varnishes and related products	related products
35120	artists', students' or signboard painters' colours, modifying tints, amusement c	artists'
35120	artists', students' or signboard painters' colours, modifying tints, amusement c	students'
35120	artists', students' or signboard painters' colours, modifying tints, amusement c	signboard painters' colours
35120	artists', students' or signboard painters' colours, modifying tints, amusement c	modifying tints
35120	artists', students' or signboard painters' colours, modifying tints, amusement c	amusement colours
35210	salicylic acid and its salts and esters	its salts
35220	lysine and its esters and salts thereof; glutamic acid and its salts; quaternary	its esters
35220	lysine and its esters and salts thereof; glutamic acid and its salts; quaternary	its salts
35220	lysine and its esters and salts thereof; glutamic acid and its salts; quaternary	quaternary ammonium salts
35220	lysine and its esters and salts thereof; glutamic acid and its salts; quaternary	acyclic amides
35220	lysine and its esters and salts thereof; glutamic acid and its salts; quaternary	their derivatives
35220	lysine and its esters and salts thereof; glutamic acid and its salts; quaternary	cyclic amides
35230	lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, conta	lactones
35230	lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, conta	its derivatives
35230	lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, conta	sulphonamides
35240	sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.	chemically pure
35240	sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.	sugar ethers
35240	sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.	sugar esters
35240	sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.	their salts
35250	provitamins, vitamins and hormones; glycosides and vegetable alkaloids and their	vegetable alkaloids
35250	provitamins, vitamins and hormones; glycosides and vegetable alkaloids and their	their salts
35310	organic surface active agents, except soap	organic surface active agents
35321	soap; organic surface-active products and preparations for use as soap; paper, w	organic surface-active products
35321	soap; organic surface-active products and preparations for use as soap; paper, w	nonwovens
35322	detergents and washing preparations	washing preparations
35323	perfume and toilet preparations	toilet preparations
35332	artificial waxes and prepared waxes	artificial waxes
35334	scouring pastes and powders and other scouring preparations	scouring pastes
35410	essential oils and concentrates, aqueous distillates and aqueous solutions there	aqueous distillates
35410	essential oils and concentrates, aqueous distillates and aqueous solutions there	terpenic by-products
35420	glues and gelatine, peptones and their derivatives, and related products; casein	their derivatives
35420	glues and gelatine, peptones and their derivatives, and related products; casein	caseinates
35420	glues and gelatine, peptones and their derivatives, and related products; casein	albuminates
35430	lubricating preparations and preparations of a kind used for the oil or grease t	lubricating preparations
35430	lubricating preparations and preparations of a kind used for the oil or grease t	anti-freezing preparations
35430	lubricating preparations and preparations of a kind used for the oil or grease t	prepared de-icing fluids
35440	modelling pastes; "dental wax" or "dental impression compounds"; other preparati	modelling pastes
35440	modelling pastes; "dental wax" or "dental impression compounds"; other preparati	dental wax
35440	modelling pastes; "dental wax" or "dental impression compounds"; other preparati	dental impression compounds
35440	modelling pastes; "dental wax" or "dental impression compounds"; other preparati	charged fire-extinguishing grenades
35440	modelling pastes; "dental wax" or "dental impression compounds"; other preparati	composite diagnostic
35440	modelling pastes; "dental wax" or "dental impression compounds"; other preparati	laboratory reagents
35450	prepared explosives; safety fuses; detonating fuses; percussion or detonating ca	detonating caps
35450	prepared explosives; safety fuses; detonating fuses; percussion or detonating ca	electric detonators
35460	pyrotechnic articles	pyrotechnic articles
35470	chemical elements and compounds doped for use in electronics	compounds doped
35491	biodiesel	biodiesel
35510	synthetic filament tow and staple fibres, not carded or combed	synthetic filament tow
35520	synthetic filament yarn (except sewing thread and multiple or cabled yarn), not 	synthetic filament yarn
35530	synthetic monofilament and strip	synthetic monofilament
35540	artificial filament tow and staple fibres, not carded or combed	artificial filament tow
35550	artificial filament yarn (except sewing thread and multiple or cabled yarn), not	artificial filament yarn
35560	artificial monofilament and strip	artificial monofilament
36115	"camel-back" strips for retreading rubber tyres	camel-back strips
36120	retreaded pneumatic tyres, of rubber	retreaded pneumatic tyres
36210	reclaimed rubber	reclaimed rubber
36220	unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; 	unvulcanized compounded rubber
36220	unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; 	unvulcanized rubber
36220	unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; 	profile shapes
36240	conveyor or transmission belts or belting, of vulcanized rubber	transmission belts
36250	rubberized textile fabrics, except tyre cord fabric	rubberized textile fabrics
36310	monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks a	monofilament
36910	floor coverings of plastics, in rolls or in the form of tiles; wall or ceiling c	ceiling coverings
36920	self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of 	self-adhesive plates
36930	baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sani	wash-basins
36930	baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sani	lavatory pans
36930	baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sani	flushing cisterns
36950	builders' ware of plastics n.e.c.	builders' ware
36971	safety headgear	safety headgear
36980	electrical insulating fittings of plastics	electrical insulating fittings
37113	float glass and surface ground or polished glass, in sheets	float glass
37113	float glass and surface ground or polished glass, in sheets	surface ground
37113	float glass and surface ground or polished glass, in sheets	polished glass
37116	glass mirrors; multiple walled insulating units of glass	glass mirrors
37116	glass mirrors; multiple walled insulating units of glass	multiple walled insulating units
37117	paving blocks, bricks, tiles and other articles of pressed or moulded glass, of 	paving blocks
37117	paving blocks, bricks, tiles and other articles of pressed or moulded glass, of 	leaded lights
37117	paving blocks, bricks, tiles and other articles of pressed or moulded glass, of 	multicellular
37117	paving blocks, bricks, tiles and other articles of pressed or moulded glass, of 	foam glass
37121	slivers, rovings, yarn and chopped strands, of glass	chopped strands
37192	glass envelopes, open, and glass parts thereof, for electric lamps, cathode-ray 	glass envelopes
37194	clock or watch glasses and similar glasses; glasses for spectacles, not opticall	watch glasses
37194	clock or watch glasses and similar glasses; glasses for spectacles, not opticall	hollow glass spheres
37194	clock or watch glasses and similar glasses; glasses for spectacles, not opticall	their segments
37195	laboratory, hygienic or pharmaceutical glassware; ampoules of glass	hygienic
37195	laboratory, hygienic or pharmaceutical glassware; ampoules of glass	pharmaceutical glassware
37197	electrical insulators of glass	electrical insulators
37210	ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary 	ceramic sinks
37210	ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary 	water closet pans
37210	ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary 	flushing cisterns
37221	ceramic tableware, kitchenware, other household articles and toilet articles	ceramic tableware
37291	ceramic wares for laboratory, chemical or other technical uses; ceramic troughs,	ceramic troughs
37291	ceramic wares for laboratory, chemical or other technical uses; ceramic troughs,	ceramic pots
37292	electrical insulators of ceramics; insulating fittings, for electrical machines,	electrical insulators
37292	electrical insulators of ceramics; insulating fittings, for electrical machines,	insulating fittings
37320	refractory bricks, blocks, tiles and similar refractory ceramic constructional g	refractory bricks
37330	refractory cements, mortars, concretes and similar compositions n.e.c.	refractory cements
37340	unfired refractory products; other refractory ceramic goods	unfired refractory products
37350	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	non-refractory ceramic building bricks
37350	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	flooring blocks
37350	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	filler tiles
37350	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	chimney-pots
37350	non-refractory ceramic building bricks, flooring blocks, support or filler tiles	chimney liners
37360	non-refractory ceramic pipes, conduits, guttering and pipe fittings	non-refractory ceramic pipes
37360	non-refractory ceramic pipes, conduits, guttering and pipe fittings	guttering
37370	ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the lik	ceramic flags
37370	ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the lik	wall tiles
37370	ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the lik	ceramic mosaic cubes
37420	quicklime, slaked lime and hydraulic lime	hydraulic lime
37430	cement clinkers	cement clinkers
37440	portland cement, aluminous cement, slag cement and similar hydraulic cements, ex	aluminous cement
37440	portland cement, aluminous cement, slag cement and similar hydraulic cements, ex	slag cement
37450	calcinated or agglomerated dolomite	calcinated
37450	calcinated or agglomerated dolomite	agglomerated dolomite
37510	non-refractory mortars and concretes	non-refractory mortars
37550	prefabricated structural components for building or civil engineering, of cement	prefabricated structural components
37610	marble, travertine and alabaster, worked, and articles thereof (except setts, cu	travertine
37610	marble, travertine and alabaster, worked, and articles thereof (except setts, cu	artificially coloured granules
37690	other worked monumental or building stone and articles thereof; other artificial	building stone
37910	millstones, grindstones, grinding wheels and the like, without frameworks, for w	without frameworks
37910	millstones, grindstones, grinding wheels and the like, without frameworks, for w	artificial abrasive powder
37920	fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of	fabricated asbestos fibres
37940	bituminous mixtures based on natural and artificial stone materials and bitumen,	bituminous mixtures based
37950	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	artificial graphite
37950	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	colloidal
37950	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	semi-colloidal graphite
37950	artificial graphite; colloidal or semi-colloidal graphite; preparations based on	preparations based
37960	artificial corundum	artificial corundum
37990	non-metallic mineral products n.e.c. (including mineral wool, expanded mineral m	non-metallic mineral products
38111	seats, primarily with metal frames	primarily
38112	seats, primarily with wooden frames	primarily
38150	mattress supports; mattresses, fitted with springs or stuffed or internally fitt	mattress supports
38150	mattress supports; mattresses, fitted with springs or stuffed or internally fitt	fitted
38220	cultured pearls, precious or semi-precious stones, and synthetic or reconstructe	cultured pearls
38220	cultured pearls, precious or semi-precious stones, and synthetic or reconstructe	precious
38220	cultured pearls, precious or semi-precious stones, and synthetic or reconstructe	semi-precious stones
38230	industrial diamonds, worked; dust and powder of natural or synthetic precious or	industrial diamonds
38330	wind musical instruments (including pipe organs, accordians and brass-wind instr	wind musical instruments
38350	other musical instruments (including percussion instruments, musical boxes and f	decoy calls
38350	other musical instruments (including percussion instruments, musical boxes and f	call horns
38360	parts and accessories of musical instruments; metronomes, tuning forks and pitch	accessories
38410	snow-skis and other snow-ski equipment; ice-skates and roller-skates	snow-skis
38420	water-skis, surf-boards, sailboards and other water-sport equipment	surf-boards
38420	water-skis, surf-boards, sailboards and other water-sport equipment	sailboards
38430	gymnasium or athletics articles and equipment	athletics articles
38450	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	fish landing nets
38450	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	butterfly nets
38450	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	decoy birds
38450	fishing rods and other line fishing tackle; fish landing nets, butterfly nets an	shooting requisites
38510	dolls' carriages; wheeled toys designed to be ridden by children	dolls' carriages
38510	dolls' carriages; wheeled toys designed to be ridden by children	wheeled toys designed
38520	dolls representing human beings; toys representing animals or non-human creature	dolls representing human beings
38520	dolls representing human beings; toys representing animals or non-human creature	toys representing animals
38520	dolls representing human beings; toys representing animals or non-human creature	non-human creatures
38530	parts and accessories of dolls representing human beings	accessories
38540	toy electric trains and tracks, signals and other accessories therefor; reduced-	toy electric trains
38540	toy electric trains and tracks, signals and other accessories therefor; reduced-	reduced-size model assembly kits
38540	toy electric trains and tracks, signals and other accessories therefor; reduced-	constructional toys
38581	video game consoles	video game consoles
38582	software cartridges for video game consoles	software cartridges
38701	prefabricated buildings, of wood	prefabricated buildings
38702	prefabricated buildings, of metal	prefabricated buildings
38703	prefabricated buildings, of plastics	prefabricated buildings
38704	prefabricated buildings, of concrete	prefabricated buildings
38911	pens, duplicating stylos, pencils, pen-holders, pencil-holders and similar holde	duplicating stylos
38911	pens, duplicating stylos, pencils, pen-holders, pencil-holders and similar holde	pen-holders
38911	pens, duplicating stylos, pencils, pen-holders, pencil-holders and similar holde	pencil-holders
38911	pens, duplicating stylos, pencils, pen-holders, pencil-holders and similar holde	drawing charcoals
38912	date, sealing or numbering stamps, and the like, designed for operating in the h	numbering stamps
38912	date, sealing or numbering stamps, and the like, designed for operating in the h	hand-operated composing sticks
38912	date, sealing or numbering stamps, and the like, designed for operating in the h	hand printing sets incorporating such sticks
38912	date, sealing or numbering stamps, and the like, designed for operating in the h	ink-pads
38921	umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops and t	sun-umbrellas
38921	umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops and t	seat-sticks
38922	parts, trimmings and accessories of umbrellas, sun-umbrellas, walking-sticks, se	accessories
38923	press-fasteners, snap-fasteners, press-studs and parts therefor; buttons; slide 	press-fasteners
38923	press-fasteners, snap-fasteners, press-studs and parts therefor; buttons; slide 	parts therefor
38924	button moulds and other parts of buttons; button blanks; parts of slide fastener	button moulds
38924	button moulds and other parts of buttons; button blanks; parts of slide fastener	button blanks
38950	motion picture film, exposed and developed, whether or not incorporating sound t	motion picture film
38961	paintings, drawings and pastels; original engravings, prints and lithographs; or	original engravings
38961	paintings, drawings and pastels; original engravings, prints and lithographs; or	original sculptures
38962	postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery 	stamp-postmarks
38962	postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery 	first-day covers
38962	postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery 	postal stationery
38963	collections and collectors' pieces of zoological, botanical, mineralogical, anat	collectors' pieces
38971	human hair, unworked, whether or not washed or scoured; waste of human hair	human hair
38972	human hair, dressed, thinned, bleached or otherwise worked; wool or other animal	human hair
38972	human hair, dressed, thinned, bleached or otherwise worked; wool or other animal	false beards
38991	festive, carnival or other entertainment articles, including conjuring tricks an	festive
38993	brooms, brushes, hand-operated mechanical floor sweepers (not motorized), mops a	paint pads
38994	cigarette lighters and other lighters; smoking pipes and cigar or cigarette hold	smoking pipes
38994	cigarette lighters and other lighters; smoking pipes and cigar or cigarette hold	curling pins
38994	cigarette lighters and other lighters; smoking pipes and cigar or cigarette hold	curling grips
38994	cigarette lighters and other lighters; smoking pipes and cigar or cigarette hold	scent sprays
38994	cigarette lighters and other lighters; smoking pipes and cigar or cigarette hold	powder-puffs
38997	imitation jewellery	imitation jewellery
39120	bran and other residues from the working of cereals or legumes; vegetable materi	vegetable materials
39120	bran and other residues from the working of cereals or legumes; vegetable materi	vegetable waste
39120	bran and other residues from the working of cereals or legumes; vegetable materi	vegetable residues
39149	beet-pulp and other waste of sugar manufacture	beet-pulp
39150	cocoa shells, husks, skins and other cocoa waste; coffee husks and skins	cocoa shells
39150	cocoa shells, husks, skins and other cocoa waste; coffee husks and skins	coffee husks
39160	brewing or distilling dregs and waste	distilling dregs
39170	wine lees; argol	wine lees
39170	wine lees; argol	argol
