# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
0121	leafy or stem vegetables	stem vegetables
0123	fruit-bearing vegetables	fruit-bearing vegetables
0124	green leguminous vegetables	green leguminous vegetables
0125	root, bulb or tuberous vegetables	tuberous vegetables
0126	vegetable seeds, except beet seeds	vegetable seeds
0131	tropical and subtropical fruits	tropical
0131	tropical and subtropical fruits	subtropical fruits
0134	pome fruits and stone fruits	pome fruits
0136	fruit seeds	fruit seeds
0163	maté leaves	maté leaves
0165	spice and aromatic crops, raw	aromatic crops
0169	stimulant, spice and aromatic crops, n.e.c.	aromatic crops
0180	sugar crops	sugar crops
0191	forage products	forage products
0192	fibre crops	fibre crops
0194	beet seeds (excluding sugar beet seeds) and seeds of forage plants	beet seeds
0196	living plants; cut flowers and flower buds; flower seeds	living plants
0196	living plants; cut flowers and flower buds; flower seeds	cut flowers
0196	living plants; cut flowers and flower buds; flower seeds	flower seeds
0211	bovine animals, live	bovine animals
0214	swine / pigs	swine / pigs
0231	hen eggs in shell, fresh	hen eggs
0291	natural honey	natural honey
0295	hides, skins and furskins, raw	furskins
0296	insect waxes and spermaceti, whether or not refined or coloured	insect waxes
0313	fuel wood, in logs, in billets, in twigs, in faggots or in similar forms	fuel wood
0321	natural gums and resins, gums-resins and oleoresins	natural gums
0321	natural gums and resins, gums-resins and oleoresins	gums-resins
0322	natural cork, raw or simply prepared	natural cork
0325	vegetable materials of a kind used primarily for plaiting or as stuffing or padd	vegetable materials
0325	vegetable materials of a kind used primarily for plaiting or as stuffing or padd	raw vegetable materials
0325	vegetable materials of a kind used primarily for plaiting or as stuffing or padd	vegetable products
0411	ornamental fish	ornamental fish
0425	tunas, skipjack or stripe-bellied bonito, live, fresh or chilled	stripe-bellied bonito
0435	cold-water shrimps and prawns (<i>pandalus spp.</i>, <i>crangon crangon</i>), li	cold-water shrimps
0446	cuttle fish and squid, live, fresh or chilled	cuttle fish
0492	natural sponges of aquatic animal origin	natural sponges
1102	patent fuel and similar solid fuels manufactured from hard coal	patent fuel
1104	brown coal briquettes and similar solid fuels manufactured from brown coal	brown coal briquettes
1201	petroleum oils and oils obtained from bituminous minerals, crude	petroleum oils
1203	bituminous or oil shale and tar sands	bituminous
1203	bituminous or oil shale and tar sands	tar sands
1300	uranium and thorium ores and concentrates	thorium ores
1422	nickel ores and concentrates	nickel ores
1423	aluminium ores and concentrates	aluminium ores
1424	precious metal ores and concentrates	precious metal ores
