kind	sub	sup	detail
single	amphotericin	drug	only wordnet
single	amphotericin	material	only sumo
single	ampicillin	agent	only wordnet
single	ampicillin	antibacterial	only wordnet
single	ampicillin	drug	only wordnet
single	ampicillin	medication	only wordnet
single	ampicillin	medicine	only opencyc
single	ampicillin	prescription-drug	only opencyc
single	ampicillin	substance	only wordnet
single	amputation	act	only wordnet
single	amputation	activity	only wordnet
single	amputation	procedure	only wordnet
single	amputation	visit	only sumo
single	amputator	adult	only wordnet
single	amputator	agent	only wordnet
single	amputator	doctor	only wordnet
single	amputator	medical-practitioner	only wordnet
single	amputator	organism	only wordnet
single	amputator	person	only wordnet
single	amputator	physical-object	only wordnet
single	amputator	professional	only wordnet
single	amrinone	agent	only wordnet
single	amrinone	drug	only wordnet
single	amrinone	material	only sumo
single	amygdalotomy	accomplishment	only sumo
single	amygdalotomy	brain-surgery	only wordnet
single	amygdalotomy	therapy	only sumo
single	amygdalotomy	volition	only sumo
single	amyloid	chemical	only wordnet
single	amyloid	compound	only wordnet
single	analgesic	agent	only wordnet
single	analgesic	artifact	only opencyc
single	analgesic	material	only sumo
single	analgesic	medicine	only opencyc
single	analogue	quack	only sumo
single	analyst	medical-practitioner	only wordnet
single	analyst	medical-specialist	only wordnet
single	anatomical-landmark	physical-object	only sumo
single	anemia	event	only opencyc
single	anemia	illness	only opencyc
single	anemia	property	only sumo
single	anemia	situation	only opencyc
single	anemia	state	only wordnet
single	anemia	symptomatic-effect	only sumo
single	anesthesiologist	adult	only wordnet
single	anesthesiologist	agent	only wordnet
single	anesthesiologist	attribute	only sumo
single	anesthesiologist	medical-practitioner	only wordnet
single	anesthesiologist	organism	only wordnet
single	anesthesiologist	person	only wordnet
single	anesthesiologist	physical-object	only wordnet
single	anesthesiologist	professional	only wordnet
single	anesthesiologist	property	only sumo
single	anesthesiology	cognition	only wordnet
single	anesthesiology	medicine	only wordnet
single	anesthesiology	natural-science	only wordnet
single	anesthesiology	science	only wordnet
single	angiogenesis-inhibitor	agent	only wordnet
single	angiogenesis-inhibitor	material	only sumo
single	angiologist	adult	only wordnet
single	angiologist	agent	only wordnet
single	angiologist	attribute	only sumo
single	angiologist	medical-practitioner	only wordnet
single	angiologist	organism	only wordnet
single	angiologist	person	only wordnet
single	angiologist	physical-object	only wordnet
single	angiologist	professional	only wordnet
single	angiologist	property	only sumo
single	angiology	cognition	only wordnet
single	angiology	medicine	only wordnet
single	angiology	natural-science	only wordnet
single	angiology	science	only wordnet
single	angioplasty	accomplishment	only sumo
single	angioplasty	therapy	only sumo
single	angioplasty	volition	only sumo
single	animal-disease	condition	only wordnet
single	animal-disease	property	only sumo
single	animal-disease	state	only wordnet
single	animal-disease	symptomatic-effect	only sumo
single	anorexia-nervosa	property	only sumo
single	anorexia-nervosa	state	only wordnet
single	anorexia-nervosa	symptomatic-effect	only sumo
single	anthrax	condition	only wordnet
single	anthrax	property	only sumo
single	anthrax	state	only wordnet
single	anthrax	symptomatic-effect	only sumo
single	anti-inflammatory	agent	only wordnet
single	anti-inflammatory	drug	only wordnet
single	anti-inflammatory	material	only sumo
single	anti-inflammatory	medicine	only opencyc
single	antiarrhythmic	agent	only wordnet
single	antiarrhythmic	material	only sumo
single	antiarrhythmic	medicine	only opencyc
single	antibacterial	agent	only wordnet
single	antibacterial	drug	only wordnet
single	antibacterial	material	only sumo
single	antibody-affinity	event	only sumo
single	antibody-affinity	process	only wordnet
single	anticholinergic	agent	only wordnet
single	anticholinergic	material	only sumo
single	anticholinesterase	agent	only wordnet
single	anticholinesterase	drug	only wordnet
single	anticholinesterase	material	only sumo
single	anticoagulant	agent	only wordnet
single	anticoagulant	material	only sumo
single	anticonvulsant	agent	only wordnet
single	anticonvulsant	material	only sumo
single	antidepressant	agent	only wordnet
single	antidepressant	substance	only wordnet
single	antidiabetic	agent	only wordnet
single	antidiabetic	drug	only wordnet
single	antidiabetic	material	only sumo
single	antidiarrheal	agent	only wordnet
single	antidiarrheal	drug	only wordnet
single	antidiarrheal	material	only sumo
single	antidiuretic	agent	only wordnet
single	antidiuretic	drug	only wordnet
single	antidiuretic	material	only sumo
single	antiemetic	agent	only wordnet
single	antiemetic	material	only sumo
single	antiemetic	medicine	only opencyc
single	antigen	material	only sumo
single	antigenic-determinant	indication	only sumo
single	antigenic-determinant	information	only sumo
single	antihistamine	agent	only wordnet
single	antihistamine	drug	only wordnet
single	antihistamine	material	only sumo
single	antihistamine	medicine	only opencyc
single	antihypertensive	agent	only wordnet
single	antihypertensive	drug	only wordnet
single	antihypertensive	material	only sumo
single	antimycin	agent	only wordnet
single	antimycin	drug	only wordnet
single	antimycin	material	only sumo
single	antineoplastic-antibiotic	agent	only wordnet
single	antineoplastic-antibiotic	drug	only wordnet
single	antineoplastic-antibiotic	material	only sumo
single	antineoplastic-antibiotic	medication	only wordnet
single	antiprotozoal	agent	only wordnet
single	antiprotozoal	drug	only wordnet
single	antiprotozoal	material	only sumo
single	antipyresis	accomplishment	only sumo
single	antipyresis	procedure	only sumo
single	antipyresis	tending	only wordnet
single	antipyresis	volition	only sumo
single	antipyresis	work	only wordnet
single	antipyretic	agent	only wordnet
single	antipyretic	analgesic	only opencyc
single	antipyretic	artifact	only opencyc
single	antipyretic	drug	only wordnet
single	antipyretic	material	only sumo
single	antipyretic	medicine	only opencyc
single	antiseptic	agent	only wordnet
single	antiseptic	drug	only wordnet
single	antiseptic	material	only sumo
single	antiseptic	medicine	only opencyc
single	antispasmodic	agent	only wordnet
single	antispasmodic	material	only sumo
single	antitussive	agent	only wordnet
single	antitussive	material	only sumo
single	antiviral	agent	only wordnet
single	antiviral	drug	only wordnet
single	antiviral	material	only sumo
single	apnea	cognition	only wordnet
single	apnea	evidence	only wordnet
single	apnea	illness	only opencyc
single	apnea	situation	only opencyc
single	appeal	quack	only sumo
single	appearance	quack	only sumo
single	appendectomy	act	only wordnet
single	appendectomy	action	only opencyc
single	appendectomy	activity	only wordnet
single	appendectomy	operation	only wordnet
single	appendectomy	procedure	only wordnet
single	appendectomy	situation	only opencyc
single	appendectomy	surgery	only opencyc
single	appendectomy	visit	only sumo
single	appendectomy	work	only opencyc
single	areflexia	cognition	only wordnet
single	areflexia	event	only sumo
single	areflexia	evidence	only wordnet
single	argentine-hemorrhagic-fever	attribute	only wordnet
single	argentine-hemorrhagic-fever	condition	only wordnet
single	argentine-hemorrhagic-fever	state	only wordnet
single	argentine-hemorrhagic-fever	viral-infection	only wordnet
single	aromatherapy	accomplishment	only sumo
single	aromatherapy	action	only opencyc
single	aromatherapy	procedure	only sumo
single	aromatherapy	situation	only opencyc
single	aromatherapy	tending	only wordnet
single	aromatherapy	volition	only sumo
single	aromatherapy	work	only wordnet
single	arthrodesis	accomplishment	only sumo
single	arthrodesis	volition	only sumo
single	arthroplasty	accomplishment	only sumo
single	arthroplasty	therapy	only sumo
single	arthroplasty	volition	only sumo
single	arthroscope	instrument	only wordnet
single	arthroscope	physical-object	only wordnet
single	arthroscopy	accomplishment	only sumo
single	arthroscopy	medical-imaging	only wikidata
single	arthroscopy	therapy	only sumo
single	arthroscopy	volition	only sumo
single	artificial-kidney	instrument	only wordnet
single	artificial-kidney	physical-object	only wordnet
single	aspergillosis	condition	only wordnet
single	aspergillosis	property	only sumo
single	aspergillosis	state	only wordnet
single	aspergillosis	symptomatic-effect	only sumo
single	assertiveness-training	accomplishment	only sumo
single	assertiveness-training	procedure	only sumo
single	assertiveness-training	psychotherapy-treatment	only wordnet
single	assertiveness-training	tending	only wordnet
single	assertiveness-training	volition	only sumo
single	assertiveness-training	work	only wordnet
single	astringent	agent	only wordnet
single	astringent	drug	only wordnet
single	astringent	material	only sumo
single	atomic-cocktail	agent	only wordnet
single	atomic-cocktail	drug	only wordnet
single	atomic-cocktail	material	only sumo
single	atrophy	cognition	only wordnet
single	atrophy	diminution	only sumo
single	atrophy	event	only sumo
single	atrophy	evidence	only wordnet
single	attention-deficit-disorder	attribute	only sumo
single	attention-deficit-disorder	cognition	only wordnet
single	attention-deficit-disorder	evidence	only wordnet
single	attention-deficit-disorder	property	only sumo
single	attention-deficit-disorder	symptom	only wordnet
single	attention-deficit-disorder	symptomatic-effect	only sumo
single	attraction	quack	only sumo
single	audiology	cognition	only wordnet
single	audiology	medical-specialty	only wordnet
single	audiology	medicine	only wordnet
single	audiology	natural-science	only wordnet
single	audiology	science	only wordnet
single	augury	quack	only sumo
single	autism	attribute	only sumo
single	autism	cognition	only wordnet
single	autism	evidence	only wordnet
single	autism	property	only sumo
single	autism	symptom	only wordnet
single	autism	symptomatic-effect	only sumo
single	autoimmune-disease	attribute	only wordnet
single	autoimmune-disease	condition	only wordnet
single	autoimmune-disease	event	only opencyc
single	autoimmune-disease	situation	only opencyc
single	autoimmune-disease	state	only wordnet
single	autoinjector	instrument	only wordnet
single	autoinjector	physical-object	only wordnet
single	autoinjector	syringe	only wordnet
single	autoplasty	accomplishment	only sumo
single	autoplasty	therapy	only sumo
single	autoplasty	volition	only sumo
single	aversion-therapy	accomplishment	only sumo
single	aversion-therapy	procedure	only sumo
single	aversion-therapy	psychotherapy-treatment	only wordnet
single	aversion-therapy	tending	only wordnet
single	aversion-therapy	volition	only sumo
single	aversion-therapy	work	only wordnet
single	azathioprine	agent	only wordnet
single	azathioprine	drug	only wordnet
single	azathioprine	material	only sumo
single	aztreonam	agent	only wordnet
single	aztreonam	drug	only wordnet
single	aztreonam	material	only sumo
single	aztreonam	medication	only wordnet
single	aztreonam	medicine	only opencyc
single	baby-doctor	adult	only wordnet
single	baby-doctor	agent	only wordnet
single	baby-doctor	attribute	only sumo
single	baby-doctor	medical-practitioner	only wordnet
