# name	source	id
embodied-artificial-intelligence	wikidata	Q56298745
autonomic-computing	wikidata	Q788172
intelligence-amplification	wikidata	Q1362688
intelligent-system	wikidata	Q115135904
ai-agent	wikidata	Q132451509
embodied-agent	wikidata	Q5370102
knowledge-based-agent	wikidata	Q130366759
world-model	wikidata	Q139147221
weak-artificial-intelligence	wikidata	Q17097955
multimodal-artificial-intelligence	wikidata	Q124464237
ai-model	wikidata	Q117349473
neural-network-model	wikidata	Q110404576
swarm-robotics	wikidata	Q2446723
soft-robotics	wikidata	Q24327151
cognitive-robotics	wikidata	Q1038799
behavior-based-robotics	wikidata	Q4880688
bio-inspired-robotics	wikidata	Q4914594
microbotics	wikidata	Q2402635
nanorobotics	wikidata	Q587024
mobile-robotics	wikidata	Q12038398
social-robotics	wikidata	Q113557429
human-robot-interaction	wikidata	Q859951
robot-planning	wikidata	Q4416626
biorobotics	wikidata	Q3657270
neurorobotics	wikidata	Q7002613
industrial-robot	wikidata	Q1128980
mobile-robot	wikidata	Q4810574
service-robot	wikidata	Q7455797
domestic-robot	wikidata	Q1331972
social-robot	wikidata	Q2005645
companion-robot	wikidata	Q55608217
military-robot	wikidata	Q1235833
medical-robot	wikidata	Q6806593
agricultural-robot	wikidata	Q4414810
rescue-robot	wikidata	Q7315030
entertainment-robot	wikidata	Q5380490
personal-robot	wikidata	Q2072119
robotic-arm	wikidata	Q40687
articulated-robot	wikidata	Q3180664
delta-robot	wikidata	Q2059787
collaborative-robot	wikidata	Q5138951
microbot	wikidata	Q10329563
robotic-spacecraft	wikidata	Q1378139
underwater-robot	wikidata	Q2492790
self-reconfiguring-modular-robot	wikidata	Q17165512
autonomous-car	wikidata	Q741490
autonomous-truck	wikidata	Q55080236
autonomous-bus	wikidata	Q106864612
autonomous-aircraft	wikidata	Q107058313
autonomous-spacecraft	wikidata	Q116285941
autonomous-underwater-vehicle	wikidata	Q257406
elementary-cellular-automaton	wikidata	Q1875447
reversible-cellular-automaton	wikidata	Q7318293
life-like-cellular-automaton	wikidata	Q6544583
answer-set-programming	wikidata	Q2852531
constraint-logic-programming	wikidata	Q5164378
abductive-logic-programming	wikidata	Q4665212
concurrent-logic-programming	wikidata	Q17008825
functional-logic-programming	wikidata	Q5508829
ontology-engineering	wikidata	Q1027508
controlled-vocabulary	wikidata	Q1469824
temporal-knowledge-graph	wikidata	Q134915964
dynamic-knowledge-graph	wikidata	Q133082844
linked-open-data	wikidata	Q18692990
rdf-graph	wikidata	Q31386861
training-set	wikidata	Q3997298
benchmark-dataset	wikidata	Q104819290
image-dataset	wikidata	Q124305192
speech-dataset	wikidata	Q106415528
rule-based-expert-system	wikidata	Q59138899
frame-based-expert-system	wikidata	Q59138925
diagnostic-expert-system	wikidata	Q59138843
connectionist-expert-system	wikidata	Q5161689
conversational-ai	wikidata	Q116961403
