kind	sub	sup	detail
single	friendly-artificial-intelligence	software	only wikidata
single	frog	embodied-agent	only opencyc
single	functional-logic-programming	skill	only wikidata
single	game-theory	cognition	only wordnet
single	game-theory	field-of-study	only sumo
single	gated-recurrent-unit	artificial-neural-network	only wikidata
single	gaussian-mixture-model	statistical-model	only wikidata
single	generative-adversarial-network	ai-model	only wikidata
single	generative-adversarial-network	algorithm	only wikidata
single	generative-adversarial-network	artificial-intelligence	only wikidata
single	generative-adversarial-network	artificial-neural-network	only wikidata
single	generative-adversarial-network	generative-model	only wikidata
single	generative-adversarial-network	software	only wikidata
single	generative-adversarial-network	statistical-model	only wikidata
single	generative-ai	artificial-neural-network	only wikidata
single	generative-ai	software	only wikidata
single	generative-ai	statistical-model	only wikidata
single	generative-ai-chatbot	software-agent	only wikidata
single	generative-pre-trained-transformer	language-model	only wikidata
single	generative-pre-trained-transformer	statistical-model	only wikidata
single	genetic-algorithm	algorithm	only wikidata
single	genetic-algorithm	artificial-intelligence	only wikidata
single	genetic-algorithm	information-retrieval	only wikidata
single	genetic-algorithm	metaheuristic	only wikidata
single	genetic-algorithm	search-algorithm	only wikidata
single	genetic-programming	algorithm	only wikidata
single	genius	embodied-agent	only opencyc
single	genius	intelligent-agent	only opencyc
single	geometric-feature-learning	artificial-intelligence	only wikidata
single	geometric-feature-learning	machine-learning	only wikidata
single	ghost	intelligent-agent	only opencyc
single	giant	embodied-agent	only opencyc
single	giant	intelligent-agent	only opencyc
single	goat	embodied-agent	only opencyc
single	governor	embodied-agent	only opencyc
single	governor	intelligent-agent	only opencyc
single	gradient-boosting	algorithm	only wikidata
single	gradient-boosting	artificial-intelligence	only wikidata
single	gradient-boosting	bootstrap-aggregating	only wikidata
single	gradient-boosting	ensemble-learning	only wikidata
single	gradient-boosting	machine-learning	only wikidata
single	gradient-boosting	metaheuristic	only wikidata
single	graph-traversal	algorithm	only wikidata
single	graph-traversal	information-retrieval	only wikidata
single	grocery-store	intelligent-agent	only opencyc
single	guard	embodied-agent	only opencyc
single	guard	intelligent-agent	only opencyc
single	guerrilla	embodied-agent	only opencyc
single	guerrilla	intelligent-agent	only opencyc
single	handwriting-recognition	artificial-intelligence	only wikidata
single	handwriting-recognition	machine-learning	only wikidata
single	heuristic	act	only wordnet
single	heuristic	activity	only wordnet
single	heuristic	event	only wordnet
single	heuristic	measure	only sumo
single	heuristic	procedure	only wordnet
single	heuristic	routine	only sumo
single	heuristic-search-algorithm	algorithm	only wikidata
single	heuristic-search-algorithm	artificial-intelligence	only wikidata
single	heuristic-search-algorithm	information-retrieval	only wikidata
single	hidden-markov-model	algorithm	only wikidata
single	hierarchical-classifier	algorithm	only wikidata
single	hierarchical-clustering	data-mining	only wikidata
single	hierarchical-temporal-memory	artificial-intelligence	only wikidata
single	hill-climbing-search	algorithm	only wikidata
single	hill-climbing-search	artificial-intelligence	only wikidata
single	hill-climbing-search	evolutionary-algorithm	only wikidata
single	hill-climbing-search	information-retrieval	only wikidata
single	hill-climbing-search	informed-search-algorithm	only wikidata
single	hill-climbing-search	metaheuristic	only wikidata
single	hopfield-network	artificial-neural-network	only wikidata
single	horse	embodied-agent	only opencyc
single	human	embodied-agent	only opencyc
single	human	intelligent-agent	only opencyc
single	hunter	embodied-agent	only opencyc
single	hunter	intelligent-agent	only opencyc
single	image-classification	algorithm	only wikidata
single	image-classification	signal-processing	only wikidata
single	image-to-image-translation	artificial-intelligence	only wikidata
single	image-to-image-translation	signal-processing	only wikidata
single	imitation-learning	artificial-intelligence	only wikidata
single	imitation-learning	machine-learning	only wikidata
single	immigrant	embodied-agent	only opencyc
single	immigrant	intelligent-agent	only opencyc
single	imposter	embodied-agent	only opencyc
single	imposter	intelligent-agent	only opencyc
single	incremental-learning	artificial-intelligence	only wikidata
single	independent-component-analysis	artificial-intelligence	only wikidata
single	independent-component-analysis	machine-learning	only wikidata
single	inductive-logic-programming	supervised-learning	only wikidata
single	industrial-robot	machine	only wikidata
single	information-extraction	artificial-intelligence	only wikidata
single	information-extraction	computational-linguistics	only wikidata
single	information-science	cognition	only wordnet
single	informed-search-algorithm	algorithm	only wikidata
single	informed-search-algorithm	artificial-intelligence	only wikidata
single	informed-search-algorithm	information-retrieval	only wikidata
single	insect	embodied-agent	only opencyc
