name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
anticipation	07511080	EmotionalState	+			Q255266					an expectation	core
anxiety	14374432	Anxiety	=			Q154430					(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety 	core
apartment	02726305	ApartmentUnit	=	schema:Apartment	Apartment	Q188507	Mx4rvVixF5wpEbGdrcN5Y29ycA				a suite of rooms usually on one floor of an apartment house	core
apathy	07483622	PsychologicalAttribute	+			Q309406					an absence of emotion or enthusiasm	core
apology	06633363	Expressing	+			Q273668					"an expression of regret at having caused trouble for someone; ""he wrote a letter of apolog"	core
apparatus	02727825	Device	+			Q620681					equipment designed to serve a specific function	core
apparel	02728440	Clothing	+								"clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clo"	core
appeal	04687333	SubjectiveAssessmentAttribute	+			Q329777					"attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal "	core
appearance	04673965	SubjectiveAssessmentAttribute	+				Mx4rwJZJIZwpEbGdrcN5Y29ycA				outward or visible aspect of a person or thing	core
appendix	05537576	BodyPart	+			Q9656	Mx4rPXNN8iQNQdeZzd0BRieWGw				a vestigial process that extends from the lower end of the cecum and that resembles a smal	core
appetite	07485626	PsychologicalAttribute	+			Q28578	Mx4r0wITiCzsQdiQ-51ndcJW8w				"a feeling of craving something; ""an appetite for life""; ""the object of life is to satisfy "	core
apple	07739125	Apple	=			Q89	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVjBnZwpEbGdrcN5Y29ycA				fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	core
appliance	02729965	Device	+			Q339084					a device or control that is very useful for a particular job	core
applicant	09607280	SocialRole	+				Mx4rZisceCthQdiJGZT_4gMiZg				a person who requests or seeks something such as assistance or employment or admission	core
application	06570110	ComputerProgram	+			Q166142	Mx4rvViM8ZwpEbGdrcN5Y29ycA				a program that gives a computer instructions that provide the user with tools to accomplis	core
appointment	00586105	Declaring	+				Mx4rvVieKpwpEbGdrcN5Y29ycA				"the job to which you are (or hope to be) appointed; ""he applied for an appointment in the "	core
appraisal	05733583	Comparing	+				Mx4rvWotk5wpEbGdrcN5Y29ycA				the classification of someone or something with respect to its worth	core
appraisal-report	06528783	Certificate	+				Mx4rwOD_GpwpEbGdrcN5Y29ycA				a document appraising the value of something (as for insurance or taxation)	core
aquarium	02732072	FishTank	=	schema:Aquarium	Aquarium	Q45782					a tank or pool or bowl filled with water for keeping live fish and underwater animals	core
arachnid	01769347	Arachnid	=			Q1358	Mx4rvVifK5wpEbGdrcN5Y29ycA				air-breathing arthropods characterized by simple eyes and four pairs of legs	core
arch	02734217	StationaryArtifact	+		Arch	Q12277	Mx4rero7lCTVQdeAWbti1baqSw				"a passageway under a curved masonry construction; ""they built a triumphal arch to memorial"	core
architect	09805475	Designer	=			Q42973	Mx4rwQxF25wpEbGdrcN5Y29ycA				someone who creates plans to be used in making something (such as buildings)	core
architecture	06123363	Architecture	=		Architecture	Q12271	Mx8Ngh4rwQrxJ5wpEbGdrcN5Y29ycB4rvVjNP5wpEbGdrcN5Y29ycA				the discipline dealing with the principles of design and construction and ornamentation of	core
archive	02735086	EducationalOrganization	+			Q166118	Mx8Ngh4rwP1_U5wpEbGdrcN5Y29ycB4rvVj2rJwpEbGdrcN5Y29ycA				a depository containing historical records and documents	core
ardor	07481375	EmotionalState	+								"feelings of great warmth and intensity; ""he spoke with great ardor"""	core
arena	08497107	StationaryArtifact	+		Arena						the central area of an ancient Roman amphitheater where contests and spectacles were held;	core
argument	07140978	Debating	=		Argument	Q179875					"a discussion in which reasons are advanced for and against some proposition or proposal; """	core
argumentation	05773049	Reasoning	+								a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process 	core
arm	05563770	Arm	=			Q43471	Mx4rvVjp5ZwpEbGdrcN5Y29ycA				a human limb; technically the part of the superior limb between the shoulder and the elbow	core
armchair	02738535	Chair	+				Mx4rvVii15wpEbGdrcN5Y29ycA				chair with a support on each side for arms	core
army	08191230	Army	+		Army						a permanent organization of the military land forces of a nation or state	core
army-division	08213205	MilitaryOrganization	+				Mx4rcmh5hJmhEdaAAAACs1uxFw				"an army unit large enough to sustain combat; ""two infantry divisions were held in reserve"""	core
arrangement-scheme	05728678	SpatialRelation	=								"an arrangement scheme; ""the awkward design of the keyboard made operation difficult""; ""it "	core
arrow	02742753	ArrowProjectile	=			Q45922	Mx4rvViIy5wpEbGdrcN5Y29ycA				a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes 	core
art					Art	Q735						core
article	06268096	Report	=	schema:Article	Article	Q191067	Mx4rwPkghJwpEbGdrcN5Y29ycA				nonfictional prose forming an independent part of a publication	core
articulation	05595083	BodyJoint	+			Q9644					(anatomy) the point of connection between two bones or elements of a skeleton (especially 	core
artifact	00021939	Artifact	=			Q8205328	Mx4rvVkH_ZwpEbGdrcN5Y29ycA				a man-made object taken as a whole	core
artillery-shell	04190464	Grenade	+				Mx4rvvM2ZJwpEbGdrcN5Y29ycA				ammunition consisting of a cylindrical metal casing containing an explosive charge and a p	core
artist	09812338	Artist	=			Q483501	Mx4rwMcZI5wpEbGdrcN5Y29ycA				a person whose creative work shows sensitivity and imagination	core
artistic-creation	00933420	ArtWork	+			Q735					"the creation of beautiful or significant things; ""art does not need to be innovative to be"	core
ash	14769160	Substance	+			Q152079					the residue that remains when something is burned	core
ash-grey	04962062	GrayColor	+			Q317802					a light shade of grey	core
aspect	05850624	Attribute	+								"a distinct feature or element in a problem; ""he studied every facet of the question"""	core
aspiration	07484547	PsychologicalAttribute	+								"a cherished desire; ""his ambition is to own his own business"""	core
assault	00767826	ViolentContest	+		Assault	Q2911369					a threatened or attempted physical attack by someone who appears to be able to cause bodil	core
assembly-hall	03478907	Room	+		Assembly_hall	Q1940809					"a large room for gatherings or entertainment; ""lecture hall""; ""pool hall"""	core
assertion	06729499	Stating	+								a declaration that is made emphatically (as if no supporting evidence were necessary)	core
asset	05154517	PropertyFn	+								a useful or valuable quality	core
assignment	00796586	IntentionalProcess	+								an undertaking that you have been assigned to do (as by an instructor)	core
assimilation	13434878	SocialInteraction	+								the social process of absorbing one cultural group into harmony with another	core
assist	01207609	Cooperation	+								the activity of contributing to the fulfillment of a need or furtherance of an effort or p	core
assistant	09815790	Human	+			Q2070313	Mx4rQlXXKHAvEduAAAACs2IKfQ				a person who contributes to the fulfillment of a need or furtherance of an effort or purpo	core
association	08049401	Organization	=			Q12818739	Mx4rwH-3XJwpEbGdrcN5Y29ycA				"a formal organization of people or groups of people; ""he joined the Modern Language Associ"	core
assurance	07227406	Committing	+								"a statement intended to inspire confidence; ""the President's assurances were not respected"	core
asterisk	06828389	Character	+								a star-shaped character * used in printing	core
astronomy	06095022	Astronomy	=		Astronomy	Q333					the branch of physics that studies celestial bodies and the universe as a whole	core
athlete	09820263	FootballerSoccer	=		Athlete	Q2066131	Mx4rvVi--5wpEbGdrcN5Y29ycA				a person trained to compete in sports	core
atmosphere	09210604	Atmosphere	=		Atmosphere	Q8104	Mx4rvVjVGpwpEbGdrcN5Y29ycA				the envelope of gases surrounding any celestial body	core
atom	14619225	Atom	=			Q9121	Mx4rvViR75wpEbGdrcN5Y29ycA				(physics and chemistry) the smallest component of an element having the chemical propertie	core
attachment	02755244	Artifact	+				Mx4rvWOV6JwpEbGdrcN5Y29ycA				a supplementary part or accessory	core
attack	00972621	Attack	=								"(military) an offensive against an enemy (using weapons); ""the attack began at dawn"""	core
attempt	00786195	IntentionalProcess	+								"earnest and conscientious activity intended to do or accomplish something; ""made an effort"	core
attention	05650579	PsychologicalAttribute	+			Q6501338	Mx4rf3--8LctEdmFRAACs6hRjg				"the faculty or power of mental concentration; ""keeping track of all the details requires y"	core
attitude	06193203	PropositionalAttitude	+								a complex mental state involving beliefs and feelings and values and dispositions to act i	core
attraction	04688246	SubjectiveAssessmentAttribute	+			Q4818701					"the quality of arousing interest; being attractive or something that attracts; ""her person"	core
attractive-force	11426530	Process	+								the force by which one object attracts another	core
