name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
morale	14374273	StateOfMind	+				Mx4rc2EcjJK4EdaAAACQJ5pcGA				a state of individual psychological well-being based upon a sense of confidence and useful	core
morning	15165289	Morning	=			Q7722	Mx4rvViIhZwpEbGdrcN5Y29ycA				"the time period between dawn and noon; ""I spent the morning running errands"""	core
morsel	07579076	Food	+								"a small amount of solid food; a mouthful; ""all they had left was a bit of bread"""	core
mortgage	13352138	Mortgage	+			Q184260	Mx4rvuDzypwpEbGdrcN5Y29ycA				a conditional conveyance of property as security for the repayment of a loan	core
mosaic	03787759	ArtWork	+		Mosaic	Q3324695					art consisting of a design made of small pieces of colored stone or glass	core
mosque	03788195	Mosque	=	schema:Mosque	Mosque	Q32815	Mx4rwJSZ7ZwpEbGdrcN5Y29ycA				(Islam) a Muslim place of worship that usually has a minaret	core
mosquito	02200198	Insect	+			Q7367	Mx4rvVjf-JwpEbGdrcN5Y29ycA				two-winged insect whose female has a long proboscis to pierce the skin and suck the blood 	core
mother	10332385	BiologicalAttribute	+			Q7560	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViQ-ZwpEbGdrcN5Y29ycB4rvVjTQ5wpEbGdrcN5Y29ycB4rvViwMZwpEbGdrcN5Y29ycA				"a woman who has given birth to a child (also used as a term of address to your mother); ""t"	core
motif	03789014	ArtWork	+			Q1391023					a design or figure that consists of recurring shapes or colors, as in architecture or deco	core
motion	00331950	BodyMotion	=		Motion	Q79782					"a change of position that does not entail a change of location; ""the reflex motion of his "	core
motivation	00023773	PsychologicalAttribute	+								the psychological feature that arouses an organism to action toward a desired goal; the re	core
motivational-drive	04835724	TraitAttribute	+								"the trait of being highly motivated; ""his drive and energy exhausted his co-workers"""	core
motorcycle	03790512	Motorcycle	=	schema:Motorcycle	Motorcycle	Q56761348	Mx4rvVkEdJwpEbGdrcN5Y29ycA				a motor vehicle with two wheels and a strong frame	core
motorist	10334101	SocialRole	+								someone who drives (or travels in) an automobile	core
motto	07152259	Text	+		Motto	Q840625	Mx4r1N46Ci_qQdiUYc9m89_Mdg				a favorite saying of a sect or political group	core
mountain	09359803	Mountain	=	schema:Mountain	Mountain	Q8502	Mx4rvVjODZwpEbGdrcN5Y29ycA				a land mass that projects well above its surroundings; higher than a hill	core
mountain-range	09403734	MountainRange	+		Mountain_range	Q46831	Mx4rvVjlL5wpEbGdrcN5Y29ycA				"a series of hills or mountains; ""the valley was between two ranges of hills""; ""the plains "	core
mourning	13989280	Unhappiness	+			Q1026040					state of sorrow over the death or departure of a loved one	core
mouse	02330245	Mouse	=			Q2751034	Mx4rvVjvnpwpEbGdrcN5Y29ycA				any of numerous small rodents typically resembling diminutive rats having pointed snouts a	core
mouth	05302499	Mouth	+			Q9635	Mx4rvVidh5wpEbGdrcN5Y29ycA				"the opening through which food is taken in and vocalizations emerge; ""he stuffed his mouth"	core
move	00168658	Transportation	+			Q2918584					"the act of changing your residence or place of business; ""they say that three moves equal "	core
movement	08464601	PoliticalOrganization	+								a group of people with a common ideology who try together to achieve certain general goals	core
mud	14956325	Mud	=			Q170449					water soaked soil; soft wet earth	core
mug	03797390	DrinkingMug	=		Mug	Q386215	Mx4rvViE2JwpEbGdrcN5Y29ycA				with handle and usually cylindrical	core
multimedia	06261744	Text	+								transmission that combine media of communication (text and graphics and sound etc.)	core
murder	00220522	Murder	=		Murder	Q132821					unlawful premeditated killing of a human being by a human being	core
muscle	05289297	Muscle	=	schema:Muscle	Muscle	Q7365					one of the contractile organs of the body	core
museum	03800563	Building	+	schema:Museum	Museum	Q33506	Mx4rvViEOJwpEbGdrcN5Y29ycA				a depository for collecting and displaying objects having scientific or historical or arti	core
mushroom	12997919	Mushroom	=			Q83093	Mx8Ngh4rwU6E5pwpEbGdrcN5Y29ycB4rvVij7pwpEbGdrcN5Y29ycA				any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the en	core
music	07020895	MakingMusic	=		Music	Q638	Mx4rvVjOJpwpEbGdrcN5Y29ycA				an artistic form of auditory communication incorporating instrumental or vocal tones in a 	core
music-band	08249038	MusicalGroup	+			Q215380					instrumentalists not including string players	core
music-director	09952539	MusicalConductor	=			Q158852					the person who leads a musical group	core
music-recording				schema:MusicRecording								core
musical-composition	07037465	MusicalComposition	=			Q207628	Mx4rwUwN3ZwpEbGdrcN5Y29ycA				"a musical work that has been created; ""the composition is written in four movements"""	core
musical-harmony	07027180	Music	+			Q184421					the structure of music with respect to the composition and progression of chords	core
musical-instrument	03800933	MusicalInstrument	=		Musical_instrument	Q34379	Mx4rvVjI6JwpEbGdrcN5Y29ycA				any of various devices or contrivances that can be used to produce musical tones or sounds	core
musical-note	06865345	ContentBearingObject	+		Musical_note	Q263478					"a notation representing the pitch and duration of a musical sound; ""the singer held the no"	core
musician	10339966	Musician	+		Musician	Q639669	Mx4rvVisB5wpEbGdrcN5Y29ycA				artist who composes or conducts music as a profession	core
mutation	07425011	PathologicProcess	+								(genetics) any event that changes genetic structure; any alteration in the inherited nucle	core
mystery	05685538	SubjectiveAssessmentAttribute	+								"something that baffles understanding and cannot be explained; ""how it got out is a mystery"	core
myth	06372680	NarrativeText	=		Myth		Mx4rTUrpPjoZQdeH0Mh951FVfA				a traditional story accepted as history; serves to explain the world view of a people	core
nail	03804744	Nail	=			Q37077					a thin pointed piece of metal that is hammered into materials as a fastener	core
name	06333653	Name	=		Name	Q82799					"a language unit by which a person or thing is known; ""his name really is George Washington"	core
narrative	07221094	Stating	+		Narrative		Mx4rvViIbJwpEbGdrcN5Y29ycA			Narrative	a message that tells the particulars of an act or occurrence or course of events; presente	core
nationality	13953787	Attribute	+		Nationality		Mx4rvViWHZwpEbGdrcN5Y29ycA				the status of belonging to a particular nation by birth or naturalization	core
natural-depression	09366017	Basin	+			Q190429					a sunken or depressed geological formation	core
natural-event	11408559	IntentionalProcess	[								all phenomena that are not artificial	core
natural-language	06904171	NaturalLanguage	=		Natural_language	Q33742	Mx4rvVjzepwpEbGdrcN5Y29ycA				a human written or spoken language used by a community; opposed to e.g. a computer languag	core
natural-law	05870916	Obligation	+			Q29524	Mx4rtw6J_MiwEdmAAAACs6hRjg				a rule or body of rules of conduct inherent in human nature and essential to or binding up	core
natural-object	00019128	Artifact	:								an object occurring naturally; not made by man	core
natural-science	06000400	Science	+								the sciences involved in the study of the physical world and its phenomena	core
nature	04726724	Attribute	+			Q7860					"the essential qualities or characteristics by which something is recognized; ""it is the na"	core
nature.object	09366762	Object	+			Q7860					"the natural physical world including plants and animals and landscapes etc.; ""they tried t"	core
nature.person	09503682	Agent	+			Q7860					"a causal agent creating and controlling things in the universe; ""the laws of nature""; ""nat"	core
nausea	14359952	Nausea	=			Q127076	Mx4rwP1RnZwpEbGdrcN5Y29ycA				the state that precedes vomiting	core
navy	08191701	Organization	+		Navy	Q4508	Mx4rvyO94ZwpEbGdrcN5Y29ycA				an organization of military vessels belonging to a country and available for sea warfare	core
necessity	09367203	Necessity	+								"anything indispensable; ""food and shelter are necessities of life""; ""the essentials of the"	core
neck	05546540	Neck	=			Q9633	Mx4rvVjLF5wpEbGdrcN5Y29ycA				the part of an organism (human or animal) that connects the head to the rest of the body; 	core
necktie	03815615	TieClothing	+			Q44416	Mx4rvVjMXJwpEbGdrcN5Y29ycA				neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar	core
need	14449126	Attribute	+								"a condition requiring relief; ""she satisfied his need for affection""; ""God has no need of "	core
needle	03816136	Device	+			Q142690	Mx4rvViupJwpEbGdrcN5Y29ycA				a sharp pointed implement (usually steel)	core
negligence	04665813	TraitAttribute	+								the trait of neglecting responsibilities and lacking concern	core
negotiation	07148192	Meeting	+		Negotiation	Q202875					"a discussion intended to produce an agreement; ""the buyout negotiation lasted several days"	core
neighbor	10352299	SocialRole	+			Q1986893					a person who lives (or is located) near another	core
nephew	10353355	BiologicalAttribute	+			Q15224724					a son of your brother or sister	core
nerve	05474346	Tissue	+	schema:Nerve	Nerve	Q9620	Mx4rwP3lkpwpEbGdrcN5Y29ycA				any bundle of nerve fibers running to various organs and tissues of the body	core
nest	09369169	Nest	=			Q4785	Mx4rvZYx2JwpEbGdrcN5Y29ycA				a structure in which animals lay eggs or give birth to their young	core
net	03820154	Artifact	+			Q47530522	Mx4rvgEGIpwpEbGdrcN5Y29ycA				game equipment consisting of a strip of netting dividing the playing area in tennis or bad	core
network	03820474	BroadcastNetwork	+				Mx4rv1YoXZwpEbGdrcN5Y29ycA				(broadcasting) a communication system consisting of a group of broadcasting stations that 	core
newcomer	10355688	SocialRole	+								"a recent arrival; ""he's a newcomer to Boston"""	core
news	06642138	FactualText	=		News	Q38926	Mx4rvVjb0ZwpEbGdrcN5Y29ycA				"information about recent and important events; ""they awaited news of the outcome"""	core
news-program	06619850	NewsProgram	=		News_program						"a program devoted to current events, often using interviews and commentary; ""we watch the "	core
news-report	06681551	Report	+								"a short account of the news; ""the report of his speech""; ""the story was on the 11 o'clock "	core
newspaper	06267145	Newspaper	=	schema:Newspaper	Newspaper	Q11032					a daily or weekly publication on folded sheets; contains news and articles and advertiseme	core
night	15167027	NightTime	+			Q575	Mx4rvVieC5wpEbGdrcN5Y29ycA				the time after sunset and before sunrise while it is dark outside	core
nightmare	05769062	PsychologicalProcess	+			Q192692	Mx4r2ExPHjoZQdeSlbULcz8CcA				a terrifying or deeply upsetting dream	core
node	13911045	Entity	+								a connecting point at which several lines come together	core
noise	07387509	RadiatingSound	+								"sound of any kind (especially unintelligible or dissonant sound); ""he enjoyed the street n"	core
nomination	00164152	Appointing	+		Nomination	Q1156895	Mx4rkjEGsBk4QdiOq9W3G03udA				"the act of officially naming a candidate; ""the Republican nomination for Governor"""	core
nonpayment	13300141	NormativeAttribute	+								loss resulting from failure of a debt to be paid	core
nonprofit												core
nonsense	06607339	SubjectiveAssessmentAttribute	+			Q600499					a message that seems to convey no meaning	core
norm	13854488	NormativeAttribute	+			Q205665	Mx4rlvOL4mY1QdiY7KN-1Xb3Fw			Norm	"a standard or model or pattern regarded as typical; ""the current middle-class norm of two "	core
normal	05667613	NormativeAttribute	=			Q273176					"something regarded as a normative example; ""the convention of not naming the main characte"	core
north	13831176	North	=			Q659					the cardinal compass point that is at 0 or 360 degrees	core
nose	05598147	Nose	+			Q7363	Mx4rvViCbJwpEbGdrcN5Y29ycA				the organ of smell and entrance to the respiratory tract; the prominent part of the face o	core
note	06504462	FactualText	=								"a brief written record; ""he made a note of the appointment"""	core
notebook	06415419	Artifact	+		Notebook	Q43013	Mx4rvVjSS5wpEbGdrcN5Y29ycA				a book with blank pages for recording notes or memoranda	core
notebook-computer	03832673	Machine	+			Q3962					a small compact portable computer	core
notice	06747670	Disseminating	+								"an announcement containing information about an event; ""you didn't give me enough notice"";"	core
notice.communication	07212612	Notification	+			Q685744					advance notification (usually written) of the intention to withdraw from an arrangement of	core
notion	05836598	Proposition	+								a general inclusive concept	core
noun	06319293	Noun	=		Noun		Mx4rvojLOpwpEbGdrcN5Y29ycA				a content word that can be used to refer to a person, place, thing, quality, or action	core
novel	06367879	Novel	=		Novel		Mx4rvViJb5wpEbGdrcN5Y29ycA				an extended fictional work in prose; usually in the form of a story	core
nowadays	15119536	TimeInterval	+								the period of time that is happening now; any continuous stretch of time including the mom	core
nuance	06606191	SubjectiveAssessmentAttribute	+								"a subtle difference in meaning or opinion or attitude; ""without understanding the finer nu"	core
nuclear-reactor	03834040	Device	+		Nuclear_reactor	Q80877	Mx4rwJH52JwpEbGdrcN5Y29ycA				(physics) any of several kinds of apparatus that maintain and control a nuclear reaction f	core
number	05121418	Number	=		Number	Q11563	Mx4rvxwC-ZwpEbGdrcN5Y29ycA				"the property possessed by a sum or total or indefinite quantity of units or individuals; """	core
numeral	06807198	DigitCharacter	+				Mx4rvVkGUpwpEbGdrcN5Y29ycA				"a symbol used to represent a number; ""he learned to write the numerals before he went to s"	core
nun	10368009	ReligiousOrganization	+			Q191808	Mx4rvgHzmJwpEbGdrcN5Y29ycA				a woman religious	core
nurse	10366966	Position	+			Q186360	Mx4rvViV3pwpEbGdrcN5Y29ycA				one skilled in caring for young children or the sick (usually under the supervision of a p	core
nursery	03836062	Nursery	=			Q1741939	Mx4rwLMRZZwpEbGdrcN5Y29ycA				a child's room for a baby	core
nut	13136556	Nut	=			Q11009					usually large hard-shelled seed	core
nutshell	11683556	BodyCovering	+			Q7070552	Mx4rvWPUhZwpEbGdrcN5Y29ycA				the hard usually fibrous outer layer of some fruits especially nuts	core
oak	12268246	BotanicalTree	+				Mx8Ngh4rvVio85wpEbGdrcN5Y29ycB4rvVjB35wpEbGdrcN5Y29ycA				"a deciduous tree of the genus Quercus; has acorns and lobed leaves; ""great oaks grow from "	core
objection	07208338	ExpressingDisapproval	+				Mx4rpaq0ch64QdiMdpZwIgcMcg				the speech act of objecting	core
observation	05818741	True	+	schema:Observation		Q193181	Mx4rI2UNFsh-EdmAAAACs6hRjg				"facts learned by observing; ""he reported his observations to the mayor"""	core
obstacle	03839795	Process	+			Q264661	Mx4rwJJMaZwpEbGdrcN5Y29ycA				an obstruction that stands in the way (and must be removed or surmounted or circumvented)	core
occasion	15245829	TimePosition	+								"the time of a particular event; ""on the occasion of his 60th birthday"""	core
occupation	00582388	Position	+	schema:Occupation	Occupation	Q4830453	Mx4rg0xHZMCxEdmAAAACs6hRjg				"the principal activity in your life that you do to earn money; ""he's not in my line of bus"	core
ocean	09376198	Ocean	=			Q9430	Mx4rvVjktpwpEbGdrcN5Y29ycA				a large body of water constituting a principal part of the hydrosphere	core
ocean.quantity	13776971	SubjectiveAssessmentAttribute	+								anything apparently limitless in quantity or volume	core
oeuvre	03841417	Artifact	+								"the total output of a writer or artist (or a substantial part of it); ""he studied the enti"	core
offense	00980038	ViolentContest	+								the action of attacking an enemy	core
offer	07185076	UnilateralGiving	+	schema:Offer							"the verbal act of offering; ""a generous offer of assistance"""	core
office	03841666	OfficeBuilding	=		Office	Q182060	Mx4rvViJHpwpEbGdrcN5Y29ycA				"place of business where professional or clerical duties are performed; ""he rented an offic"	core
official	10372373	Human	+		Official						a worker who holds or is invested with an office	core
offspring	10373998	BiologicalAttribute	+			Q239526	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVim7ZwpEbGdrcN5Y29ycB4rvVjZipwpEbGdrcN5Y29ycB4rvVjYxZwpEbGdrcN5Y29ycA				"the immediate descendants of a person; ""she was the mother of many offspring""; ""he died wi"	core
oil	14966667	Oil	=		Oil		Mx4rvVjZ6ZwpEbGdrcN5Y29ycA				a slippery or viscous liquid or liquefiable substance not miscible with water	core
old-age	15153787	TimeInterval	+			Q191089					"a late time of life; ""old age is not for sissies""; ""he's showing his years""; ""age hasn't s"	core
olfactory-property	04980008	OlfactoryAttribute	=			Q485537					any property detected by the olfactory system	core
omission	00074624	SubjectiveAssessmentAttribute	+				Mx4rvftBih60QdiLR6PT5LyAqQ				a mistake resulting from neglect	core
one-fourth	13737480	RationalNumber	+								"one of four equal parts; ""a quarter of a pound"""	core
one-half	13736799	RationalNumber	+								"one of two equal parts of a divisible whole; ""half a loaf""; ""half an hour""; ""a century and"	core
onion	12433081	FruitOrVegetable	+			Q23485	Mx4rwQCWWZwpEbGdrcN5Y29ycA				the bulb of an onion plant	core
opera	07026352	Opera	=		Opera	Q1344					a drama set to music; consists of singing with orchestral accompaniment and an orchestral 	core
operating-system	06568134	OperatingSystem	+	schema:OperatingSystem	Operating_system	Q9135	Mx4rvViws5wpEbGdrcN5Y29ycA				(computer science) software that controls the execution of computer programs and may provi	core
operation	00671351	Surgery	=			Q600236	Mx4rw6j3oNfXEduAAAACs6hRXg				a medical procedure involving an incision with instruments; performed to repair damage or 	core
opinion	06782019	Proposition	+			Q3962655					a message expressing a belief about something; the expression of a belief that is held wit	core
opinion-poll	05800998	Polling	+		Opinion_poll	Q49958					an inquiry into public opinion conducted by interviewing a random sample of people	core
opportunity	14483917	SubjectiveAssessmentAttribute	+				Mx4rbgUMqkPuQdmXrOuIThCETg				"a possibility due to a favorable combination of circumstances; ""the holiday gave us the op"	core
opposing-view	06783265	Proposition	+								"an opinion that is held in opposition to another in an argument or dispute; ""there are two"	core
opposite	13858604	SubjectiveAssessmentAttribute	+								"a relation of direct opposition; ""we thought Sue was older than Bill but just the reverse "	core
opposition	08404188	PoliticalParty	+			Q192852					the major political party opposed to the party in office and prepared to replace it if ele	core
optimism	05211793	TraitAttribute	+			Q485446					a general disposition to expect the best in all things	core
option	05790944	SubjectiveAssessmentAttribute	+				Mx4rvWnTEJwpEbGdrcN5Y29ycA				"one of a number of things from which only one can be chosen; ""what option did I have?""; ""t"	core
orange	07747607	OrangeFruit	=			Q13191					round yellow to orange fruit of any of several citrus trees	core
orange-colour	04965179	OrangeColor	+			Q39338					orange color or pigment; any of a range of colors between red and yellow	core
orbit	08612049	Transitway	+			Q4130					the (usually elliptical) path described by one celestial body in its revolution about anot	core
orchestra	08248157	Orchestra	=		Orchestra	Q42998	Mx4rvVjq95wpEbGdrcN5Y29ycA				a musical organization consisting of a group of instrumentalists including string players	core
order	07279687	Requesting	+	schema:Order							"a request for something to be made, supplied, or served; ""I gave the waiter my order""; ""th"	core
orderliness	14496710	SubjectiveAssessmentAttribute	+								"a condition of regular or proper arrangement; ""he put his desk in order""; ""the machine is "	core
organ	05297523	Organ	=			Q712378					a fully differentiated structural and functional unit in an animal that is specialized for	core
organism	00004475	Organism	=		Organism	Q7239				Organism	a living thing that has (or can develop) the ability to act or function independently	core
organization	08008335	Organization	=	schema:Organization	Organization	Q43229				Organization	a group of people who work together	core
orgy	00511212	RecreationOrExercise	+			Q912179	Mx4rv7DYkpwpEbGdrcN5Y29ycA				a wild gathering involving excessive drinking and promiscuity	core
orientation	13828075	DirectionalAttribute	=								position or alignment relative to points of the compass or other specific directions	core
origin	04923743	BiologicalAttribute	+								"properties attributable to your ancestry; ""he comes from good origins"""	core
outfit	03859958	Outfit	=			Q1381731					"a set of clothing (with accessories); ""his getup was exceedingly elegant"""	core
outflow	09443453	Creek	+								a natural flow of ground water	core
outgo	13275288	Giving	+								money paid out; an amount spent	core
outline	06468951	Summary	+				Mx4rj5nVxSzGEdiUgwAH6RYvSQ				a sketchy summary of the main points of an argument or theory	core
output	13758745	PhysicalQuantity	+				Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVi255wpEbGdrcN5Y29ycB4rvWStbZwpEbGdrcN5Y29ycB4rvVjeiZwpEbGdrcN5Y29ycA				the quantity of something (as a commodity) that is created (usually within a given period 	core
outside	08613472	Region	+								the outer side or surface of something	core
oven	03862676	Oven	=		Oven	Q36539	Mx4rvViZrJwpEbGdrcN5Y29ycA				kitchen appliance used for baking or roasting	core
overall	03863108	Trousers	+			Q140066496					(usually plural) work clothing consisting of denim trousers (usually with a bib and should	core
overhaul	00268112	Repairing	+								"periodic maintenance on a car or machine; ""it was time for an overhaul on the tractor"""	core
overview	06469223	Text	+				Mx4r1CCumKOMQdidZolcbRyzMA				"a general summary of a subject; ""the treasurer gave a brief overview of the financial cons"	core
owl	01621127	Owl	=			Q241515	Mx4rvVjvDJwpEbGdrcN5Y29ycA				nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes	core
owner	10388924	Human	+				Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rvViknpwpEbGdrcN5Y29ycB4rvVjXU5wpEbGdrcN5Y29ycB4rvVi255wpEbGdrcN5Y29ycA				"(law) someone who owns (is legal possessor of) a business; ""he is the owner of a chain of "	core
ownership	13240514	Attribute	+								the relation of an owner to the thing possessed; possession with the right to transfer pos	core
oxygen	14648100	Oxygen	=			Q629					a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammabl	core
pace	05058580	PerFn	=				Mx4rc06f4skrEdmAAAACs6hRjg				"the relative speed of progress or change; ""he lived at a fast pace""; ""he works at a great "	core
pack	03870672	Container	+			Q3033123	Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvVj0MZwpEbGdrcN5Y29ycA				a bundle (especially one carried on the back)	core
pack-of-cards	07956721	Collection	+								a pack of 52 playing cards	core
package	08008017	Collection	+			Q13107365					a collection of things wrapped or boxed together	core
packet	03871628	Artifact	+			Q25221956					a small package or bundle	core
page	06256697	Page	=			Q1069725					one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or	core
pain	05724694	Pain	=			Q81938					"a somatic sensation of acute discomfort; ""as the intensity increased the sensation changed"	core
pain-in-the-neck	10391513	Human	+								"a bothersome annoying person; ""that kid is a terrible pain"""	core
painfulness	07494363	EmotionalState	+								"emotional distress; a fundamental feeling that people try to avoid; ""the pain of lonelines"	core
paint	03875218	Paint	+			Q174219	Mx4rvVjTC5wpEbGdrcN5Y29ycA				a substance used as a coating to protect or decorate a surface (especially a mixture of pi	core
painter	10391653	Painter	+		Painter	Q1028181					an artist who paints	core
painting	03876519	PaintedPicture	=	schema:Painting	Painting	Q11629					"graphic art consisting of an artistic composition made by applying paints to a surface; ""a"	core
pair	07976936	GroupOfPeople	+				Mx4rvVi-y5wpEbGdrcN5Y29ycA				two people considered as a unit	core
palace	03877845	Building	+		Palace	Q16560	Mx4rvVjpbJwpEbGdrcN5Y29ycA				official residence of an exalted person (as a sovereign)	core
palm	12582231	BotanicalTree	+			Q14080					any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palm	core
pan	02481629	Ape	+			Q80174	Mx4rvViF9JwpEbGdrcN5Y29ycA				chimpanzees; more closely related to Australopithecus than to other pongids	core
panel	03882058	EngineeringComponent	+				Mx4rvVjG1pwpEbGdrcN5Y29ycA				sheet that forms a distinct (usually flat and rectangular) section or component of somethi	core
panic	07520612	Panic	=			Q208450	Mx4rvVkHQJwpEbGdrcN5Y29ycA				an overwhelming feeling of fear and anxiety	core
paper	14974264	Paper	=		Paper	Q11472					a material made of cellulose pulp derived mainly from wood or rags or certain grasses	core
parade	08428485	Motion	+		Parade	Q657449	Mx4rvVjMDZwpEbGdrcN5Y29ycA				a ceremonial procession including people marching	core
paradiddle	07388816	RadiatingSound	+								the sound of a drum (especially a snare drum) beaten rapidly and continuously	core
paradox	06724559	False	+		Paradox	Q483372	Mx4rLHKF9tbJEdmAAACQJw5drg				"(logic) a statement that contradicts itself; ""`I always lie' is a paradox because if it is"	core
paragraph	06399995	Paragraph	+			Q1931107	Mx4rZ3gqxqpIEdaAAABQ2sS97g				one of several distinct subdivisions of a text intended to separate ideas; the beginning i	core
parameter	07328305	Entity	+			Q1410440				Parameter	any factor that defines a system and determines (or limits) its performance	core
parcel	01085098	Sharing	=			Q13107365					"the allotment of some amount by dividing something; ""death gets more than its share of att"	core
pardon	06552639	Certificate	+				Mx4rbvd9ihlJQdiDW7XllEbJkg				a warrant granting release from punishment for an offense	core
parent	10399491	BiologicalAttribute	+			Q7566					a father or mother; one who begets or one who gives birth to or nurtures and raises a chil	core
park	08615374	Park	+	schema:Park	Park	Q1312431	Mx4rwQwoIJwpEbGdrcN5Y29ycA				"a piece of open land for recreational use in an urban area; ""they went for a walk in the p"	core
parking	13778671	Region	+			Q267917	Mx4rrCXnQRI5EdeEdgACs6hRuw				"space in which vehicles can be parked; ""there is plenty of parking behind the store"""	core
parliament	08319198	Parliament	=		Parliament	Q35749	Mx4r4A_2hI2bQdiY2PczkXJ4BQ				a legislative assembly in certain countries	core
parole	07227301	Committing	+								"a promise; ""he gave his word"""	core
paroxysm	14082788	DiseaseOrSyndrome	+								"a sudden uncontrollable attack; ""a paroxysm of giggling""; ""a fit of coughing""; ""convulsion"	core
part	13809207	Entity	+			Q7401	Mx4rvVid6ZwpEbGdrcN5Y29ycA				"something determined in relation to something that includes it; ""he wanted to feel a part "	core
participant	10401829	Human	+								someone who takes part in an activity	core
particle	09386422	SubatomicParticle	+			Q1621273	Mx4rvVj0fpwpEbGdrcN5Y29ycA				a body having finite mass and internal structure but negligible dimensions	core
partner	10402417	SocialRole	+				Mx4rPKHIyry6EdmAAAACs6hRjg				a person who is a member of a partnership	core
partnership	06526291	Contract	+		Partnership	Q728646	Mx4rvVipSZwpEbGdrcN5Y29ycA				a contract between two or more persons who agree to pool talent and money and share profit	core
party	08252602	SocialParty	=		Party	Q1686000	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvViAFJwpEbGdrcN5Y29ycB4rvViPO5wpEbGdrcN5Y29ycA				"a group of people gathered together for pleasure; ""she joined the party after dinner"""	core
pass	06690408	Certificate	+								"a document indicating permission to do something without restrictions; ""the media represen"	core
passage	05248181	BodyVessel	+								"a path or channel or duct through or along which something may pass; ""the nasal passages"""	core
passenger	10403876	SocialRole	+		Passenger	Q319604					a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not ope	core
passing	00065575	ContestAttribute	+			Q1193328					"success in satisfying a test or requirement; ""his future depended on his passing that test"	core
passion	07480896	EmotionalState	+			Q335046	Mx4rvViwd5wpEbGdrcN5Y29ycA				a strong feeling or emotion	core
passport	06500937	Passport	=			Q43812					a document issued by a country to a citizen allowing that person to travel abroad and re-e	core
password	06674188	LinguisticExpression	+			Q161157					"a secret word or phrase known only to a restricted group; ""he forgot the password"""	core
past	15120823	PastFn	=			Q192630					"the time that has elapsed; ""forget the past"""	core
pastel	04974575	ColorAttribute	+			Q2513175					any of various pale or light colors	core
pastime	00431552	RecreationOrExercise	+								"a diversion that occupies one's time and thoughts (usually pleasantly); ""sailing is her fa"	core
pastime-game	00430606	Game	=								"an amusement or pastime; ""they played word games""; ""he thought of his painting as a game t"	core
pasture	08616050	Field	+			Q30121	Mx4rwQr53ZwpEbGdrcN5Y29ycA				a field covered with grass or herbage and suitable for grazing by livestock	core
patch	03897943	Fabric	+				Mx4rqlv2hrtKEdmAAAACs6hRjg				a piece of cloth used as decoration or to mend or cover a hole	core
patent	06501141	Patent	=		Patent	Q253623	Mx4rvVitH5wpEbGdrcN5Y29ycA				a document granting an inventor sole rights to an invention	core
path	09387222	Transitway	+			Q119781	Mx4r7k80XssQEdmAAAACs6hRjg				"a line or route along which something travels or moves; ""the hurricane demolished houses i"	core
patience	04640538	TraitAttribute	+			Q12846123	Mx4rvViKvpwpEbGdrcN5Y29ycA				good-natured tolerance of delay or incompetence	core
patient	10405694	Human	+	schema:Patient		Q181600	Mx4rvViT1JwpEbGdrcN5Y29ycA				"a person who requires medical care; ""the number of emergency patients has grown rapidly"""	core
patio	03899768	Patio	=		Patio	Q2577534					usually paved outdoor area adjoining a residence	core
patriot	10407310	BeliefGroup	+			Q1898124					one who loves and defends his or her country	core
patriotism	04878101	TraitAttribute	+			Q6241					"love of country and willingness to sacrifice for it; ""they rode the same wave of popular p"	core
patrol	08216176	SecurityUnit	=								a detachment used for security or reconnaissance	core
pattern	05938795	Abstract	+		Pattern	Q7148361	Mx4rvVjndZwpEbGdrcN5Y29ycA			Pattern	"a model considered worthy of imitation; ""the American constitution has provided a pattern "	core
pause	15271008	TimeInterval	+			Q1681122					a time interval during which there is a temporary cessation of something	core
payment	01120448	Payment	=				Mx4rvVkKHZwpEbGdrcN5Y29ycA				the act of paying money	core
pb	14643467	Lead	=			Q708					a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes	core
peace	07515790	Serenity	=			Q454					the absence of mental stress or anxiety	core
peacetime	13970236	PeaceState	=			Q454					the state prevailing during the absence of war	core
peak	08617963	LandArea	+								"the top or extreme point of something (usually a mountain or hill); ""the view from the pea"	core
peanut	07737745	Peanut	+			Q636425	Mx8Ngh4rwP4F85wpEbGdrcN5Y29ycB4rvVidtZwpEbGdrcN5Y29ycA				pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' ar	core
